Comment_ID,Author_ID,Author,Text,Likes,Comment_Date,sentiment
7285681043532120837,6917894844955558914,beepbeepmoodberries,GAMON SAMA JOGJA😭,6430,2023-10-03 17:43:39,positive
7284578081825833734,7265521655261217797,xo.onyy,jatuh cinta banget sama jogja,5528,2023-09-30 18:23:46,positive
7289668990896194310,7231924505516672026,ersatrihapsari,"Jogja tunggu akuu ya, Desember akuu ke sana",3766,2023-10-14 11:39:05,neutral
7285616491595039494,7117585979451474945,btflyismaa,JOGJAAA AKU RINDU,1585,2023-10-03 13:33:09,positive
7300163638555083525,7146945433373410305,rindang24,"jogja tunggu aku ya, sampe aku bisa kuliah disana",1154,2023-11-11 18:23:36,neutral
7283380601453200134,6891388199379125249,bluelizzy067,fyp jogja trs. semoga thn depan bisa kesana,832,2023-09-27 12:57:02,neutral
7285530398145217285,78496656266,sagitarius.queen,"i'am coming jogja
sbr ya dlm waktu dkt bakal kesana 😍",539,2023-10-03 07:59:08,positive
7290540513706459909,6976267341717947394,atikaaaa_13,jogja aku kangen bangett:),477,2023-10-16 20:00:56,neutral
7290484448729498374,6983275868228518913,kuromiiww,pgn ke jogja lagii 🥹🫶🏻,467,2023-10-16 16:23:21,negative
7284408847354872582,6798740171863032834,sintaapiwpiw,emang boleh se kangen ini sama Jogja?,304,2023-09-30 07:27:03,positive
7285618500105011974,6788438745097651202,cristallliiii,"jogja, tunggu aku bulan dpan ksna",251,2023-10-03 13:41:01,neutral
7367574106743833350,7241793921130234886,ryaaaaaannnnn_,GALAU GR² UDH PULANG DRI JOGJA 😔,188,2024-05-11 10:10:44,positive
7288325594117653253,7190668273205675010,iyhayuu,GASABARR STUDY TOURR,184,2023-10-10 20:45:54,neutral
7283487985341350662,6926033835520148481,afariafa,malioboro selalu tempat impian wkwk😁,170,2023-09-27 19:53:37,negative
7304154157617890053,7274937181571105798,super.jawir5,sisi gelap jogja,163,2023-11-22 12:28:52,neutral
7289598962816910086,6893425253113218050,nayaalwayss_,gamon sama Jogja itu nyata 😭,60,2023-10-14 07:07:17,positive
7325765479157580550,6834820772024927234,rhhh_ma,"JOGJA TUNGGU AKU YA, SAMPE AKU BISA KULIAH DISANA.",54,2024-01-19 18:11:43,neutral
7309056741203100422,7266383045506515974,alma_kw,trauma HP ilang di jogja gk mau ke Jogja lagi,33,2023-12-05 17:33:26,negative
7309537582688764678,6978939728793076737,bilakrnisa,jadi keinget malioboro hartigan😭,29,2023-12-07 01:15:23,neutral
7312092372460700422,7221034009479824411,suchy377,fibesnya Jogja MasyaAllah bangett😌,28,2023-12-13 21:53:11,positive
7376440545293992709,6918861310952735746,pisceseyo_8,Jogja tunggu aku ya,27,2024-06-04 07:36:54,neutral
