id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt,sentiment
Ugx9sbY4bS4ZLak2KUJ4AaABAg,"150 ribu rombongan berarti nggak mahal  
Apalagi sang kusir dah uraian rute berikut harganya.  Dan tidak memaksa untuk menaiki andongnya.   Respect buat mas kusir yg ramah ini 👍",UCtzJbwYLRmYzBtfNW1_ov2w,@podangcemani6822,309,2023-05-31T23:47:46Z,positive
Ugyxw8TzGp3Iy7OOWjh4AaABAg,Yang tanya sopan yang jawab juga sopan...jogja memang istimewa,UCtn-vPpOAk1FyNAHwe8gOrQ,@dcell2136,138,2023-06-07T07:19:54Z,positive
UgzA8OLWi4kETLKjvTp4AaABAg,"Ini andongnya Fendi, msh family saya. 
Tarif andong wisata Jogja sudah ditentukan . Semua sudah ada aturanya. Ada organisasinya ada ijinya, ada aturan2 dri kraton jg pemerintah dan syarat2 untuk menjadi andong wisata. Pengadaan andong besrta kudà dn kelengkapanya gak murah, blm perawatan harian.",UCQ6WdJa4XO-b3zftBkZ0UAA,@marshallcorp3962,104,2023-06-04T05:50:46Z,neutral
UgzGqIkV2iBHxpO9wFh4AaABAg,"Masih wajar ,naik nya rame2 dan seru sambil membayangkan masa lampau,,menikmati indah nya Jogja",UCM4F8Zl2FD-53S36a3kCHoQ,@faizalridwan2582,102,2023-06-04T07:43:49Z,positive
Ugy6mY-_H7e9y6ZYcPB4AaABAg,"*apa yg di permasalahan dr jawaban kusir **#andong** yg sdh mengatakan tarif secara jujur dan terbuka di awal dg di sebutkan dua pilihan jalur dan tarifnya*
Beliau tdk menipu, beliau jg tdk memaksa untuk naik andongnya.
Kusir sdh mengatakan permohonan maaf, kl bersedia naik ya memang tarifnya segitu..
Berlibur dan mengejar kebahagiaan itu tidak ada nilainya bos...
Respect buat pak kusir ❤❤",UCYFeTK_QaUpAGehxH9E6Rww,@herryweartz7043,95,2023-05-31T12:34:24Z,positive
UgxDswq549vIIw5RJ314AaABAg,Mungkin akan terasa murah jika kita memiliki uang yg berlebih tapi mungkin akan terasa mahal jika kita memiliki uang yg pas pasan.,UCRzisfBIMJjUAYuPPi8y_ig,@slametchasmuri9300,50,2023-06-04T08:42:17Z,neutral
Ugzu0oKct1Y5xALa27N4AaABAg,Beliau hanya mempertahankan Seni budaya suasana Jogja,UC3XEumV5qijxnRhc5qs99kA,@grosirbaskomplastik8610,40,2023-06-01T15:23:14Z,neutral
UgxgrY7HdAjwrCZXZxd4AaABAg,Wajar ...biaya pakan kuda dan perawatan andong mmg tdk murah... naik andong adalah salah satu obyek pariwisata di Jogja...,UCS_l5eiGvjUxodja5tAZ0OA,@nimmie_kada,38,2023-06-01T16:00:29Z,neutral
Ugw-QDAXpIXsYDwlUI54AaABAg,ya menurutku sih msh wajar² saja utk maksimal 5 org dlm 1 andong. kan jatuhnya jd 30rb/org. kecuali kalau kita borong utk naik andongnya sendirian saja. ya itu sih itung² kita cb fasilitas yg ada di suatu tempat pariwisata.,UCB5z6L7C404xkGubaWvmftg,@harikusnadi5365,32,2023-05-28T13:43:59Z,neutral
UgwmQdf_DXXwL2JNqlh4AaABAg,Jogja tetap ramah dan istimewa. Gak masalah mau mahal atau murah  semua itu tergantung selera. Karena budaya akan selalu terjaga kelestariannya.,UCLHztw-GCTSTsCL2YRmZceg,@fuadrianferdiansyah333,31,2023-06-08T14:57:42Z,positive
9qOnq-M8uLp9r1P24moy6o,"​@@TonyGunadi-ts6tmpengen murah naik sendal aja lu gausah sok""an pergi ke wisata kl bilang mahal!",UC7lFZ7CYZpBZuhaWWwwZZrQ,@Agus_ceret,28,2023-06-16T18:11:13Z,neutral
UgxCRKE20hq8GD0sUUt4AaABAg,😂cuman 500 m jalan kaki lebih asyik  pake google map lebih asyik.😁,UCIxapW_MMf-xGku58_rl26Q,@permadifauza5251,24,2023-05-26T06:18:58Z,positive
UgwO-q_Kp-ExS9sKHRl4AaABAg,Yg penting dia sudah menyampaikan sebelum naik dan salah satu penyebabnya adalah situasi kepadatan lalulintas di area itu kini,UCCpofujryVILnqoOIJQ26hA,@Ubay1,23,2023-06-01T02:40:18Z,neutral
UgxOncWWhSZVv2LK3nl4AaABAg,"Kalau sya pribadi datang dan menginjak kota yg belum sy injak,enjoy dan lebih enak jalan kaki sambil lihat2 situasi dan sambil olah raga...bagiku jalan membuat sehat...👍👍👍",UCY8v92rv-16Q79Nng2HjqJQ,@eniumiastuti9091,23,2023-06-07T06:22:22Z,neutral
UgzKnijlbhy5ERbuFEB4AaABAg,"Murah banget itu om, apalagi itu demi membahagiakan anak istri!",UCQF-aa0ExXnBPHBK4jNdovg,@ptrunghidup8782,18,2023-06-01T03:18:22Z,positive
Ugzbd9vfu_6uGSkgAg54AaABAg,"Kaga tahan bahasanya, alus dan sopan banget etikanya...baik yg nanya maupun kusir nya",UCMHZPUYy8JU_jPn7hhnY6iA,@wendi6023,17,2023-07-05T17:31:10Z,positive
UgzQvK8Hx0VKfs7_vzh4AaABAg,"tidak setiap hari naik andong, ga apa2, buat yg ingin dpt sensasi naik andong dikota Jogja, hitung2 membantu perekonomian si masnya...bersenangsenang sambil bersedekah👍👍",UCgp8vKjccmUJuv0S7TtlScQ,@susanadiah4439,11,2023-06-01T17:30:28Z,positive
9qNamAca5zE9qPSdkB_nnH,"@@mariotegal3268 nah itu dia, kecuali naik dulu turun baru bayar dan kusir meminta tarif yg blm di sepakati.
Udah jelas sebelum naik sdh tjd akad dr 2 pihak 👍👍",UCYFeTK_QaUpAGehxH9E6Rww,@herryweartz7043,11,2023-06-01T05:53:05Z,neutral
9qe3Ln1UTtI9qojdZj6xiY,"​@@TonyGunadi-ts6tm mau murah bawa,sapi dr rumah om",UCF9DKCuj5ac7hLwliTlR7uw,@darmiami5392,9,2023-06-11T10:50:36Z,positive
UgzY3ClpPG17GHCzU4x4AaABAg,Bulan april kemarin aku & keluarga 4 org  bayar 200 ribu..cukup asyik juga meski rute dekat saja ( ke tempat parkir mobil ) ga masalah bagi rejeki 🤗 kan ga tiap bln naik andong di malioboro 🙏,UCx1qzmO-LxhR3W6ddrls1Xw,@kristinatang3620,9,2023-06-03T07:38:18Z,neutral
UgwAaj5wJ2-VCN0J4eR4AaABAg,"Itu harga wajar
harga makanan dan fasilitas di wilayah wisata Jogja udah di tentukan pemerintah jogja,
Jadi mereka gak bisa asal naikin harga",UCk67HPISMp0Y3mlzrHVi55A,@mahendrasetya7428,9,2023-06-02T15:19:24Z,neutral
9qNamAca5zE9qOY_jtiLf6,🐸 kan di kota harga  rumput tuk kuda lebih mahal dari pertamax turbo 😁,UCIxapW_MMf-xGku58_rl26Q,@permadifauza5251,9,2023-05-31T21:25:43Z,negative
UgzAHXLfLTHY8mU8BSB4AaABAg,"Buat wisatawan awam yg kaget dgn harganya, knp ""mahal""?

Krn perawatan kudanya dan bengkel kudanya juga mahal, bahkan spare parts kecil macam tali pelana saja mahal.

Ada juga kusir² yg sewa andong, krn tidak ada modal. Klo cuan tidak target, biasanya cuma nutup buat setoran ke pemilik saja.
Dan gk sedikit kusir² yg biasanya punya sambilan sebagai joki pacuan kuda.

Makanya maklum dan masuk akal bila tarif andong terbilang ""mahal"".",UChcwDxr0Yj2qmmxU2oXiFAw,@minyi8573,9,2023-06-08T20:50:14Z,neutral
9qNamAca5zE9qOp0RptgCE,"ya GK papa tarifnya segitu sah sah aja, transparan dr awal kan, GK ada yg di rugikan",UClL1w6tb0LuRz6fbuaUV7pQ,@mariotegal3268,9,2023-05-31T23:58:03Z,neutral
9qOnq-M8uLp9rPzbOn5X-H,"​@@TonyGunadi-ts6tmnggowo andong seko ngomah wae mas, nggo muter² dewe sak keselmu",UCEtj13cCtsBvheXMvwmoJdA,@dodirizkipradana8800,9,2023-06-26T07:21:15Z,neutral
UgwWYYb3-aD9bRPyFTV4AaABAg,tolong juga buat wisatawan seluruh Indonesia kalau beli gudeg di Jogja biar lebih irit (nasi krecek dan ayam suwir sama kuah) jangan pakai dada atau paha sebab itu ayam kampung lebih mahal .,UCrZuD9_aCrsCiwhJ78Y2fQQ,@mukoinijack7418,8,2023-06-03T19:09:27Z,neutral
Ugy_xaGYQPFYGewWxwl4AaABAg,Saya sekeluarga suka jalan kaki kalau di Malioboro,UCXeoE8LnNFZCe0QVSz1Raew,@gundulpacul3,8,2023-06-18T09:07:00Z,positive
Ugzb3xhyeE5Tg_vuwnN4AaABAg,"bahasa kusirnya sopan bener... 
mantap pak Kusir semoga diparingi rezeki sing katah..",UCMcSrsxH6Tc7-UBr6tE4FsQ,@eksangcjakarta27,7,2023-06-16T01:43:31Z,positive
9qNamAca5zE9qODZXJcVGP,"Dan kebahagiaan,hrgnya mahal.",UCWxSUJM_ttrXtdPIwxh6F2A,@agusbakern962,7,2023-05-31T18:22:03Z,negative
UgxKnL5UVZ42QjxIuix4AaABAg,Naik grab saja 😂,UCZe3nPA6KHH6snHH-d5-gow,@sinaran5909,7,2023-05-30T14:38:47Z,neutral
UgwummBU__LuliV7huJ4AaABAg,"Naik andong mahal karena kan untuk perawatan kuda dan kretanya. Klo Jogja jaman dulu masih sekitar 30 50 an ribu. Dan rata2 rumah bapak kusir dan andongnya tuh jauh2 dari kota Yogyakarta, ada yg d Sleman, Bantul, Kulonprogo menuju ke Malioboro.",UC0rBREZllKf6Yes8lOCboPw,@rasantosa3357,7,2023-06-02T17:06:12Z,negative
UgwPkHxjoJx68TZdF2N4AaABAg,"kak mau tanya, emang bener ya kalau misal mau beli apa di Yogya mahal mahal, tapi kalau orang yogya asli dimurahin? apa bener kak?",UC3J9ZzLICo_7ZR6p_e6pq_A,@Yarrrii2s7,7,2023-06-02T15:17:52Z,negative
UgwKG6IEi6oxT8zf-gJ4AaABAg,"yang penting kan masalah harga sdh dibicarakan dimuka, kecuali kl sdh naik baru bayar sekian, mahal atau murah relatif.",UCbXN6JQ2DB16xuvjfBNoCFw,@utilisa8129,7,2023-06-06T09:51:02Z,negative
UgxcTvtxs7PuteOi4bd4AaABAg,"Sudah murah itu,Pakan Kuda sekarang juga mahal..",UCGq17iYj6XHEgcxqeMszk5Q,@edyiswarno515,7,2023-05-28T18:12:39Z,neutral
UgzGXL69z4p9A_vxzy14AaABAg,buat mas nya kusir sehat selalu ya..,UCkhwsiNPjQo3h9fm4aKTUJQ,@rofirofi1219,7,2023-06-04T15:56:35Z,positive
Ugy2cadXq_UQOZf_cCV4AaABAg,kebahagiaan menikmati kebersamaan keluarga tercinta dg uang tarif andhong segitu tidaklah mahal...kusir dan kudanya perlu juga makan...,UCupu4FVLCXa1yaawa9ydO-g,@widodowidodo8335,7,2023-06-01T23:13:45Z,positive
Ugxw6OElpwgdcmeNw1t4AaABAg,Dulu waktu pertama kali ke Jogja thn 97 tengah mlm smp st lempuyangan Naik becak 5ribu 1 becak berdua. thn 2016 dr pengucapannya ke lempuyangan 20k kata si bpknya ga usah bayar lg mas tdkan waktu sampean sy anter keliling nyari oleh2 trus mampir ke Keaton n alun2 udah ngasih 100k. tp tetep gw pake buat dia ambil uang yg 20k. itung2 dia waktu gw msk Kraton n main di alun2 dia jagain belanjain gw.. dia cerita waktu nganter gw keliling pendapatannya udah mulai menurun. sehari dr pt sm mlm kadang dpt 100k aja susah.. dia bilang sepanjang malioboro pedagang nya udah banyak orang luar Jogja.. mayoritas pendatang dr Padang..,UC5VP4E2TVFVC6SkpygfY4UQ,@adimrbels34,6,2023-06-07T03:16:04Z,neutral
UgxLwjNHYXqlRtgcqxV4AaABAg,❤wonderful Indonesia❤,UChNk1IFEPCPHPnW1A-eXeuA,@aminrohmansyah1151,6,2023-05-29T10:17:46Z,positive
Ugz99TeYkWxQlGiPP8l4AaABAg,"Wajar menurut saya krna ini pusat wisata dan sekali naik bisa beberapa orang. Perawatan kuda dan kereta nya itu tidak murah. Coba kalau njenengan sekalian itu naik jetsky, naik banana boat, naik kapal wisata, atau apalah itu . Sama sama “naik” sesuatu hal di tempat wisata. Kayaknya panjenengan udah maklum ya kalau tarif 150 an. Tapi kalau ini naik makhluk hidup bisa buat rame rame lagi. Bilang mahal. Duh… mau bilang beda kelas ? Lebih berharga makhluk hidup sih.",UCWnW2Ic5MLB2rCpNXm_9hrA,@Dony_Chard,6,2023-05-29T14:17:06Z,neutral
UgzMMIv0S-9C-JIQRX54AaABAg,Jl dekat gitu jalan kaki saja kl dewaaa atau Ojol Car kurang dr 10K. Kendaraan tradisional ada nilai wisata dan hiburan buat anak2. 🙏🙏,UCCM-iB0-ItuG31SEqK3SL5Q,@katakita6932,6,2023-06-04T12:52:14Z,positive
UgxR7EzKsu7RDPy-Fih4AaABAg,"Jangan lihat harganya,,150 mau 200 ,ini pengalaman yg tak terlupakan bagi yg blm pernah naik,apalagi ini adalah moda transportasi dari jaman dulu yg masih aktif disebagian daerah,terutama di daerah malioboro dan sekitaran keraton.",UCvejNR3gYSdRjRx6Ovrfx2Q,@muhammadsugiyarto4710,6,2023-05-30T08:02:49Z,neutral
Ugz3FUgVgNcAhOmdklh4AaABAg,"Wahh seru juga sih ya,semoga bisa liburan ke jogja tahun depan amin,harga segitu okay lah anggap aja sedekah misal mahal dikit",UCKLB4gGpio9xt8Yzeo7Opyw,@Chaya20239,6,2023-06-07T01:13:14Z,positive
UgwzS82qDoH71dZAKhV4AaABAg,Mahal di daerah pariwisata..,UCPgpFVlCw858hqyTmtCMgfw,@coke1545,6,2023-06-02T13:41:47Z,negative
Ugxd2_pYSymWXgDqCEp4AaABAg,Itulah jogja...siapa bilang di malioboro jogja murah.......😅😅😅😅,UCkNzstBo81h49vYCkO5IaRQ,@adipat9663,5,2023-06-04T01:58:07Z,positive
Ugwa1j7LtpqyMF32r5t4AaABAg,Mntaaaap skeluarga. 🙏👍👍👍,UCgj0Ek_UjFFitDSrsurU40Q,@nanasutrisna1736,5,2023-06-01T09:02:56Z,positive
UgzFxqQYy9z9Fg6iQCF4AaABAg,Wah drpd nyupir taksi Grab mending aku beralih jd sopir andong ya..dapet 3x order trus pulang deh..kerja nyantai hasil optimal..hehehee,UCDc6rH6Sm0dSg2cSMjF0E3A,@wekawekacekakak1268,5,2023-05-29T08:53:57Z,neutral
UgxPy1kVElaiuFSd9VJ4AaABAg,Kalau mau gratis bisa naik bus Jogja Heritage Track (JHT) sebagai alternatif wisata di Jogja.,UC2O2d23VkKrbiYt9JebV9rA,@sugengsamanea4149,5,2023-06-04T23:32:50Z,neutral
UgwaTIXHD6DJBaSj01J4AaABAg,bisa jadi harganya mahal saat liburan peak season..kalo hari biasa biasanya dibawah itu. Krn peakseason memang moment utk para pelaku wisata utk mencari pendapatan lebih utk dipake hidup di hari2 pas sepi wisata,UCHr4jlVgSfC0xTCMBdGPPXg,@novikusumadewi1924,5,2023-06-02T11:35:42Z,negative
9qOnq-M8uLp9r_KpFL_1kY,@@thepleiades3644 ya kalau sayang uang jalan kaki gampang kan toh babaknya juga nggak maksa. Dan lagi itu nego harga di depan bukan setelah muter muter turun di tarip harga 😁,UCtzJbwYLRmYzBtfNW1_ov2w,@podangcemani6822,5,2023-06-30T07:47:47Z,neutral
9qG-M7GoIWf9qMDPUE-nI5,"Kuda itu bahan bakar ,eeh bahan pangan nya juga mahal ,dedak ,rendeng nya ,kandang di kasih kuning telor juga ,ya gak mahal lah ,fasilitas AC .",UCwyieNoBS5XGctHicjc2RfQ,@ari3537,5,2023-05-30T23:42:12Z,negative
