Comment_ID,Author_ID,Author,Text,Likes,Comment_Date
7057754096858022682,6916129116749251586,pokemontrainerid,simplenya karena ad lukisan ama batik2 di dalem takutnya coraknya dibajak nanti. jdi y g boleh ambil foto n video,5423,2022-01-27T12:30:49Z
7057751018536354586,127827610935508992,jikrulllll,1. Menghormati sesepuh yang konon masih ada disana.,2450,2022-01-27T12:18:52Z
7057783401784656666,6787029711522350082,ghozeee,"""Jadi semua bagian di dalam video ini,adalah sebelum dan sesudah gua tour didalam video ini"" brrti ya artinya gua ga videoin yg didalem dong😭plis wkw",2277,2022-01-27T14:24:32Z
7057766165514650395,6914567382849553409,k0nenggg,"Setauku alasan nggaboleh video/foto di dalem, karna museum ini milik pribadi kolektornya. Jadi yang di luar udah boleh ngevideo atau foto2 di sana.",820,2022-01-27T13:17:40Z
7057747354342572827,6589561472132661250,asma.1799,"gua pernah kesini, adem bgt vibes nya",491,2022-01-27T12:04:44Z
7057745556696859419,6815229110618948609,niniessaputri,pertama kali kenal gusti nurul..amazed...gokillll...jd gak jalan sendiri..ada guide nya jd bener2 juelas..gak sia2 jd org jawa😬,187,2022-01-27T11:57:38Z
7057916549587485467,6972146299370963969,bolehtaunamakamu,Ya kurang lebih kaya nonton darkside university lah ya 😌,118,2022-01-27T23:01:21Z
7057780035620897562,6983299334561940481,undiyamo,"bener banget😂 aku suka banget ke Ullen Sentalu, apalagi pas moment minum jamu gratis🥰 wenak banget jamunya",85,2022-01-27T14:11:32Z
7057766668240175899,6838616201355346946,faviantro,Htmnya berapa bang ? Mumpung weekend pengen ke Jogja nih 😁,35,2022-01-27T13:19:41Z
7057753946265436955,6787029711522350082,ghozeee,PLIS DIDENGER VIDEONYA JGN NGANGONG NGANGONG CAPEK😭😭😭🙏🏻😇,34,2022-01-27T12:30:13Z
7057735419005600538,6989070190093190145,yukiremn,masih sepi mas ghoze,27,2022-01-27T11:18:23Z
7057767624989852443,6528754571069734913,akugemas,pernah kesini sm mantan😭,21,2022-01-27T13:23:18Z
7057847129347261210,6880338105041519617,fajrin_alk,Ga boleh dokumentasi juga buat melindungi hak cipta benda2 dan karya peninggalan disana,15,2022-01-27T18:31:44Z
7057891711062115099,6796588133728125953,ripribro,Jawabannya simpel : karena hak kekayaan intelektual 😌,11,2022-01-27T21:24:47Z
7058251867205813018,6700423207949075458,jargasmm,"suka bgtt, pengunjung jadi bener2 fokus mengapresiasi karyanya bukan cuma jeprat jepret karyanya, selfie terus cabut",9,2022-01-28T20:42:23Z
7057832231057916699,6557993212479995905,seringtyp0,bang lu dapet ramuan minuman nggak bang dari musium itu?,8,2022-01-27T17:33:56Z
7057917615251505946,6866709865751331842,rrubian,pernah ke sini sama alm ayah 🥺😢,8,2022-01-27T23:05:36Z
7057886214069764890,6809826484104266754,sekarayularasatiii,"satu satunya tempat yg pertama kali kesana terus selesai tour bener2 takjub karna bagusssss bgt, padahal pas dateng kayak 'ini salah tempat ya' wkwkwk",8,2022-01-27T21:03:24Z
7057817669676286746,6837312403715294209,boru.s4sada,hororr shayy vibesnyaa:))),7,2022-01-27T16:37:33Z
7058095449911264027,6837128285475947521,momvesta,Ini punya dosen aku di UPH 😁 namanya Pak Daniel,7,2022-01-28T10:35:28Z
7057893383087751963,6812101153087308801,sandwichcrakers,Nyari nama museum ini dari lama😭😭,5,2022-01-27T21:31:17Z
7057748333066044186,6782559368401667074,nixonzskyy,jd pengen🤔,5,2022-01-27T12:08:26Z
7064546656020185882,6826934091330798594,makjummmm,Baru kemaren dari sana memang bagus banget kalian harus kesana kalo ke jogja,3,2022-02-14T19:49:16Z
7058116879063892763,6514607483058339841,ilhamftrynt,Keren gojiiiiii✨,3,2022-01-28T11:58:42Z
7058050319162737434,6786152245986722818,sayap06,ini dutanya 😅 @Ica🙆,2,2022-01-28T07:40:34Z
7057911186830623515,6548587248266674177,banaspati_jatim2023,kesini yuk mak @Vita Akas,2,2022-01-27T22:40:37Z
7068586434688697114,6880090798903460865,user53825282926,@userbingungga @pistoldalam @berakyokkk gassiin,2,2022-02-25T17:05:47Z
7058037172334658331,6573952240645947393,visiophoto,Gw pernah disini buat foto buku tahunan pdahal udh d area exit ttp gaboleh dan didatengin satpam suruh dihapus,2,2022-01-28T06:49:34Z
7057928800931447578,6872733200789373954,septia.putra,"Museum yg bikin pinter sih, guidenya jelas banget nerangin sejarahnya, dan wajar gak boleh foto, biar eksklusif 🤏🏼",2,2022-01-27T23:49:07Z
7058211164018230043,6802860848669295617,gaemgom,"Pernah nanya sama mba guidenya alasannya kenapa, kata mbanya biar brng brng yg disana tetep eksklusif dan tidak disebarluaskan aja. gak ada mistis (1)",1,2022-01-28T18:04:22Z
7076828766223352602,6553954529128529921,olivelngrn,"alasanya agar org datang langsung untuk.melihat bang, ""waktu gue ke Korea gue pernah nanya kenapa disana hampir banyak musem gak boleh di video, jawab",1,2022-03-19T22:10:13Z
7058214955723981594,6862528948950123521,garden02,Udah kesini 3 kali dan emang worth it. Buat kamu yg emang suka ke museum dan suka hal2 yg private wajib bgt mampir klo ke Jogja.,1,2022-01-28T18:19:11Z
7080179809988772634,6789804248332420098,lahiyaiyo_,@leniln7 ke sini ga kita ?,1,2022-03-28T22:54:07Z
7057896535056745243,6512538205223518210,antiidotum,"iniiiii yg aku maksuddd, bukan tirto tirtoo @aiss✨",1,2022-01-27T21:43:31Z
7057906115253895963,6850472308995195909,rennwid,KAMU WAJIB KESINI @tiarsin,1,2022-01-27T22:20:45Z
7057901847671669531,6556293051756691457,kentang_goreng_crispy,@doriarach ingin ku kesini!!!,1,2022-01-27T22:04:14Z
7340593409503150854,6548197721634144258,prsdnaf_x.x_,@Arga Metda sing trko jan wkng e high value,1,2024-02-28T17:11:43Z
7329357387882038021,6910168467024217089,user6431086973144,Aku kemarin di sana... emang mantab penjelasan nya👍🙏🏻,1,2024-01-29T10:30:25Z
7292239380877476613,7068924886748267546,hengky.sa,keinget pas dulu kecil ke situ,1,2023-10-21T09:53:34Z
7082187050102948635,77844635859,_nxyznotfound,sumpah gue 2019 kesini dan emg bener-bener amazedd bgt selama disini,1,2022-04-03T08:43:09Z
7057930231226729242,6856224486796297217,nura29022020,"pernah kesini 16 tahun lalu, blm semodern itu bangunannya ini udah renov kayanya. dan emang keren mixed magis bgt didalemnya",1,2022-01-27T23:54:39Z
7058213760922010394,6790469799970751490,zossyzos,Bagus banget.. setiap ke yogya aku kesanaa,1,2022-01-28T18:14:31Z
7060728898694759194,6782181099562533890,shafirasalasa,estetik paraah museum nyaa tapi sayang gaboleh foto/video 😭😭,1,2022-02-04T12:54:34Z
7060802657287799579,6925554461574792193,fadhilahaurora_,LHO ABANG INI TEH PERNA KE BENGKULU?!,1,2022-02-04T17:40:43Z
7080441093884068634,6878090353791796226,taka.fahsion,pernah kesitu!! emang ga boleh diambil gambar😌,1,2022-03-29T15:47:56Z
7058121040593224475,6880720545298727938,imlisanathalie,@Memey-1978. Cateten. Ntik mampir,1,2022-01-28T12:14:45Z
7057926280829797146,7009520674927477761,ilovemeaja,"ga oleh foto dn video di dlm karena itu museum pribadi, dn barang barangnya itu milik keluarga mereka,, dlu pernah ke museum ini dn emng baguss bgtt🥰",1,2022-01-27T23:39:14Z
7063718814516806427,68437792929796096,definitelybella,keinget kamu @buzzraxxy,1,2022-02-12T14:16:58Z
7057913183323292443,6620833353012035586,yaudaaaahhhh,"aku pernah kesini bang, seru banget 😅",1,2022-01-27T22:48:17Z
7057900055604396827,6945441305682707457,sri__nk,Kemarin pas ke jogja desember main di sini juga.. otw jadi keren ni museum,1,2022-01-27T21:57:09Z
7057941619865551642,6808309546642965506,tofujjim,pernahhh kesiniiiiii suka bgt suasananya,1,2022-01-28T00:39:25Z
7057913061030052634,6839603240582104065,dsinta1201,MUSEUM TERKEREN DI JOGJA,1,2022-01-27T22:47:50Z
7057904564951319322,7017011523877913626,noblesze,"PERNAH KESINII, demi apapun isinya bagus bgt, adem banget jg vibes nya, dikasih minuman yg katanya bikin awet muda HEHE, beneran adem bgt disini tuh<3",1,2022-01-27T22:14:44Z
7057900388171088666,6784389591245128706,edsebastian_,"sejujurnya pernah foto buku tahunan smp disana, tp filenya ilang gt aja,terus foto ulang ke bonbin,ya mungkin gara2 error aja si,tempatnya keren bgt🤍",1,2022-01-27T21:58:33Z
7057895731311117083,6909011224772609025,tyaswidyastutitewe,@goldenwakeup pen kesiniii ayyy,1,2022-01-27T21:40:27Z
7058123851964138266,6805293282940535810,edwinchagub,@avocad0o__ iniiii???,1,2022-01-28T12:25:44Z
7058536042026779418,6613633418557505537,masihhidub,@nazzlya kaliurang,1,2022-01-29T15:05:14Z
7281882139530920709,6867134097295524866,heikayy_,@ghinaa,1,2023-09-23T12:01:59Z
7161252485707907867,73369468376,reinyourheart0_,@jake_cici,1,2022-11-02T10:17:16Z
7194016733760701210,6888525356199429121,lylacf_,@user34465127469506,1,2023-01-29T17:19:19Z
7080229546125591322,6950971035606025217,ayyxhr,@whopsse @dhiyaaayuu @greenry1 @lheorra.zalenna,1,2022-03-29T02:08:45Z
7061935093295612698,6805147207898022913,deanjani_,@subag_lurus @vervainn_ @fmatleq,1,2022-02-07T18:55:05Z
7058837860459414298,141587350010122240,daisydesii,@_massf,1,2022-01-30T10:36:17Z
7058278821677744922,6573460315147604992,xracx_,@tantaneea,1,2022-01-28T22:27:04Z
7058271355792016155,6859335366635652101,santenmuda,@skybluee62,1,2022-01-28T21:58:06Z
7058263865884377883,224600130224676864,apraeureyyk,@s4p20,1,2022-01-28T21:28:56Z
7058201153191920411,6719867712530646022,aprodhytee00,@blurbercy,1,2022-01-28T17:25:33Z
7058170745629033243,6629213334846275586,xiaolongbaaaoo,@peachessil,1,2022-01-28T15:27:37Z
7058063715991618331,6744225416284750849,owilica_ca,@noachristian,1,2022-01-28T08:32:24Z
7057963175593329435,6872942993716806657,nelll15_,@lindaariyanti_,1,2022-01-28T02:04:13Z
7058148244060373787,6644688949938634753,agusocha3,PERNAH KESANA..MALES BGT...KAPOK..GK RAMAH...MAHAL...GK BISA UTK BELAJAR...,1,2022-01-28T14:00:21Z
7237129443683287813,7155724358467879938,kebat.kebit,foto-foto disini bagus gan @🤟🦇,1,2023-05-25T21:38:32Z
7110538555420017435,6859581759424611330,_b0nt0tt,@yowelew enak ini buat hilingg,1,2022-06-18T18:21:17Z
7058292193966375707,6837302145404371970,rhn_gntg,tombol yang udah pernah,1,2022-01-28T23:19:12Z
7058206406935462682,6650687946608328706,maminya_cuan,"me tapi punya cerita mistis sendiri disana bukan maksud mau nakut""in ya",0,2022-01-28T17:45:58Z
7386234735281079045,6865910018299429889,kanzaameera3,sebelum elu kesitu ngab. ane dah kesitu 2009 lalu,0,2024-06-30T17:03:30Z
7058248015030797082,6836825870972601345,nanonanonamee,"aku pernah kesana, banyak di ceritain tentang sejarah sejarah keraton pokoknya dalemnya bagus bgt, banyak lukisan lukisan raja raja dari mataraman",0,2022-01-28T20:27:25Z
7058209161087468315,6826702362921600002,risqiamaliza,@fandi.okta harusnya kesini nih kmrn 😂,0,2022-01-28T17:56:39Z
7057951557496914715,6788721791130747906,itadori456,"@ptrmlddd ini jg, pgn masuk ini di kaliurang",0,2022-01-28T01:18:16Z
7058022801181524763,6803246157558776834,rahayuai99,@arip.rahman_ mana ini?,0,2022-01-28T05:54:10Z
7060769471505515290,6988066368685360129,calonpemainrrq,pernah kesini @oliviatamtomo,0,2022-02-04T15:31:57Z
7058236506259522330,6881217148628419586,tofuboy09,@kimnana9696 kesini yuk,0,2022-01-28T19:42:48Z
7058903686458213147,6907229827331654658,kinayung92,sayang mau ke sini@? @selli892,0,2022-01-30T14:51:48Z
