id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgxCADRUy_D99At3d5t4AaABAg,"Pernah jalan² ke bukit Bintang awal tahun 2022,pemandangan lampu² nya sangat indah,,,salam dr Sulawesi Barat 🙏",UCijzlpsNTiFOWIfhmqZs-mg,@nyomansulastri1273,4,2023-10-12T11:19:06Z
UgxAinmv5r0Se9VtG614AaABAg,Wah kak aku baru tahu sama tempat ini   besok aku dan.keluarga mau kesini  apalagi pemandangan sangat  indah dan bagus banget,UC2QAR6N-WfU4rFo5fCnimVg,@Tommipermana-kq2lz,2,2023-10-12T09:52:27Z
Ugz_sjzsIOKk8YWypRh4AaABAg,"Ikut jln² virtual dari malioboro menuju bukit Bintang,, asyeek bngt perjalananx,, mantap! 
Tetap semangat n sukses sllu Jalan Amrita 👍👍",UCkRGTR68JubSn3tWp9uqcgQ,@asrizulfayani3428,1,2023-10-12T10:17:19Z
9vlinvA9aZ89vm0gRDO7-b,Maturnuwun Mas Bro👍👍,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2023-10-12T16:07:32Z
UgxCJZDye5N8EJlCrCN4AaABAg,"Salam sehat , salam rahayu mas
Bukit bintang semakin indah jika malam hari kalau ke jogja pasti mampir kesini utk ngopi sambil lihat pemandangan yg indah di malam hari...
Matur suwun mas amrita sdh mengingatkan kenangan yg indah",UCUE4J6zDv85ivBkSn73wbYw,@yuni.e-sup7289,1,2023-10-13T12:38:19Z
UgxuZ8BYuhI_KAW8R7F4AaABAg,mantap. salah satu jalan kenangan adalah jalan wonosari,UC6AAnEkdzAOcrgTCXl5QqfA,@miftahnugroho154,1,2023-10-12T12:41:59Z
UgyoGqA_CfF0tvjfjD14AaABAg,😢😢.... jadi kangen tanah kelahiran,UClaBW82dxLwp1-xMvBrysnQ,@roberta.d2280,1,2023-10-12T12:31:15Z
UgxqDIg3y3WNrhJaD394AaABAg,Rmh ku perempatan lampu merah sampakan belok kanan dari arh jogya,UCf-KoV7Do7gkyrE_fBJ_lFQ,@suryaadityapadma3056,1,2023-10-12T12:03:41Z
9vutL1pjsjR9w-FFJ7X1Hn,Maturnuwun sanget Mas Anziero.. Salam saking Jogja.. Semoga pekerjaannya diberi kelancaran dan kesuksesan 🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2023-10-18T04:44:08Z
UgzYnrt2RY3DlOdJkGd4AaABAg,kalau ke Jogja lagi harus mampir kesana nih..,UCKl0TFkpN4imGDMN7NRFtAg,@MaulidinurAndFamily,1,2023-10-13T00:17:55Z
UgxIY_6-ylPR1DEOn2p4AaABAg,Salam rahayu..,UC8ce7mFKw5nI19S71hqnGPg,@ga-wiratmowiratmo3576,1,2023-10-12T11:10:16Z
9vlUfAUi8wK9vm03-MwHgb,Salam rahayu Bapak.. Maturnuwun Bapak🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2023-10-12T16:02:01Z
UgwxdwfPBUgjDkvn4zx4AaABAg,"Kami sdh pernah kesini mas, waktu mala hari, sunggu dingin  udaranya.",UCcFPzY2zlIfy8aIi9ydkPXQ,@ngolusimatupang6569,1,2023-10-12T10:42:25Z
UgyDlHzVCC2c9XJmcp14AaABAg,Mantap jalan yg menuju Bukit Bintang. 👍👍,UCuqj9AVWQqjVpqt01XpSfyg,@MasHandaka02,1,2023-10-13T00:58:06Z
