id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgxLWl93nBIg0qCJB3J4AaABAg,Mas coba vlog....Klaten...Bayat Cawas...makam Pandanaran,UCq3Jk_UYHMB79dUOpnKnB-A,@rossidewi2081,2,2022-07-16T15:12:40Z
9dPxv-Jv7yP9dQU4Jehoqk,Maturnuwun sanget Kak Hera👍🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,2,2022-07-13T12:36:42Z
9dPxv-Jv7yP9dQOzKQPLLq,Maturnuwun sanget Kak Hera🙏🙏... Salam rahajeng.. Semoga Kak Hera selalu sehat dan sukses.. Salam saking Jogja🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,2,2022-07-13T11:52:12Z
9dilyj8nw6s9dmgMbr6ZOl,"Bisa searah kalau lewat pathuk, kalau lewat imogiri sebenarnya lebih dekat ya ke bukit lintang sewu dulu baru ke puncak becici Mas Bro🙏🙏",UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2022-07-22T12:55:20Z
Ugxku3sCD8N-2h3pUU54AaABAg,"Senantiasa salam Sehat 
Salam Rahajeng kagem mas & mba Jalan @mrita 🙏🏻🙏🏻
Maturnuwun sampun diparingi Info panggen Wisata enggal hutan pinus puncak Becici ...
Senang sekali bisa lihat vlog di tunjuk kan Pariwisatanya yg Asri & kelihatan Suejuuk ♥️👍🏻
Jogjayakarta Istimewa 👏🏻👏🏻👏🏻",UCnXL5p-93m5Tz7E0D5qNNWA,@hernihera9213,1,2022-07-13T07:46:56Z
9hCEsjaq_rc9hFBLRlhKhj,Njih Mas leres👍👍... Sekarang sudah ada pengelolanya.. Maturnuwun Mas Tommy🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2022-10-16T13:26:57Z
9dQjb2v-E6V9dRtoiIeALe,Makasih. Maturnuwun Mas Bro.. Salam sukses selalu🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2022-07-14T01:49:36Z
9f6xFoH5N029f8Y1zRbVie,Makasih Mas Ade🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2022-08-25T06:27:48Z
UgyApOv1aqB_l-KKPOx4AaABAg,"wah terimakasih kak, sudah diajak jalan jalan virtual, salam kenal dari K Gallery Hotel Pandaan Jawa Timur, ditunggu konten selanjutnya kak",UC8Qg0h6rLuELgNv1YjgF63Q,@kgallerychannel3903,1,2022-08-12T01:45:43Z
9dPxvoSf4Js9dQP5k2y3YE,Maturnuwun Kak Rahmah🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2022-07-13T11:53:12Z
Ugwg4c7-ZyFGs6fGc094AaABAg,Baru ajj hr minggu kmrn ke jogja mas ke malioboro ama pantai ngobaran...jogja emg the best 🔥🔥,UC3MmyaG-Gxnl-5LoS96s-Eg,@androzcaviglia9398,1,2022-07-14T03:11:49Z
9dPxv-Jv7yP9dQQdlX8ug4,@@jalanamrita Sami~sami mas & mba Semangat juga dlm konten motoVlog nya 👌🤗,UCnXL5p-93m5Tz7E0D5qNNWA,@hernihera9213,1,2022-07-13T12:06:43Z
Ugz3f2fa3j7s5SqqtGV4AaABAg,"Keindahan puncak becici jogjakarta , keren suhu",UChTCTbAFI7xIWFjk7E3dfmg,@Omdediaja,1,2022-07-13T07:36:40Z
UgwsqHPx9v3JUhNgaPl4AaABAg,"Puncak pecici Yogyakarta sangat bagus indah sekali, ingin sekali bisa ke sana",UC0Mm6ZS_MBdtN3drFDxAY7Q,@dapurdewiluz7144,1,2022-07-13T07:21:52Z
9dPwjkktmO49dQOh9vSOiI,Makasih Mas Dhedhi.. Salam sehat dan sukses selalu🙏🙏,UChQyLbuC86EliJbaUZnSecw,@jalanamrita,1,2022-07-13T11:49:43Z
