id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
Ugxfl3U-AGBv-rlEFYt4AaABAg,Gw pernah kesana awkwk bagus,UCEyKKRNiI9dguimjqU8kv1A,@azizbolosanjay2492,3,2019-12-20T11:47:31Z
Ugz4W3jUFl0DpvxnUBJ4AaABAg,"wah mantap jalan jalannya ke becici, keren channelnya....semoga makin sukses ya ....dan kita semua selalu dalam keadaan sehat",UCZr_2-4vs3HCcVydVMuVgAw,@toestv4156,1,2022-04-10T11:57:45Z
8xo2UDA2Fvb8xoaR8R438l,"siap, next video ada toiletnya",UCoi-zJPzbzFbUw5B4c4xYlA,@povtour8052,1,2019-07-25T15:40:39Z
90XKPlv8XXc90ajq05t9NP,"Puncak becici lur, lebih banyak tempat untuk melihat ruang terbuka, dan di puncaknya bisa melihat view kota jogja lebih luas",UCoi-zJPzbzFbUw5B4c4xYlA,@povtour8052,1,2019-10-27T16:39:02Z
UgwxKhhkjbybD8I7MiF4AaABAg,Viewnya bagus sih. Tapi jalannya kok rusak gt ya paving nya... Jd mikir mau kesitu,UCkLt4FAZK5oL41OMHc1nSRA,@jihannaurafathinah950,0,2022-02-03T09:29:53Z
UgwygRww-cKL3WHlK6x4AaABAg,"Nice video....sayangnya kondisi toilet tdk di shoot 😀.. tp ttp bagus, tanpa kata2 tetap informatif.. good👍",UCauUJQyQFqzzG1mR1LogXGw,@ariepurwanti5070,0,2019-07-25T10:35:15Z
UgyotfvtKflKBoWERjF4AaABAg,Terus semangat gan....,UCZNXKgZgSB73b8Us7_s1aQQ,@vandagaming3208,0,2019-08-30T11:40:39Z
90XKPlv8XXc9d5orN-QOJi,pendoponya sewa nggk,UC7oILJB9QGS6nkUAO3ztIbA,@ZCMEDIA,0,2022-07-05T12:02:59Z
UgxHaGdM_yaNg3TKdvN4AaABAg,Tanya ya lur bagus mana viewnya antara hutan pinus mangunan sama becici .,UCqOeg4odnePyTOmP37Lp4yQ,@sumariyantoberapaharganya8973,0,2019-10-25T23:31:10Z
UgwfOkPEcHExQdD5MY54AaABAg,Berapa tiketnya lur?,UCLRW-tw2oAkM1eiT3VXYTsw,@taufikhidayatullah4687,0,2019-11-05T12:14:05Z
913nNqbfGG9913sjglzHPV,"masih mas, itu tempatnya agak tinggi, udaranya lumayan adem, paling bagus sore mas kalo mau ke sana",UCoi-zJPzbzFbUw5B4c4xYlA,@povtour8052,0,2019-11-08T09:34:02Z
913nNqbfGG9913qrCziTGS,Kalo jam 9 pagi cuacanya adem ga mas disana? Rencana bsk mau otw jam 5 subuh dr semarang naik mobil soalnya,UCLkF_azLD-mrElMH2o35kAg,@muhammadrolino,0,2019-11-08T09:17:35Z
913nNqbfGG9913qR0LKq7G,"jam 4an mas, kalau cuacanya cerah lebih bagus lagi, bisa lihat sunset di puncaknya",UCoi-zJPzbzFbUw5B4c4xYlA,@povtour8052,0,2019-11-08T09:13:52Z
