id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgzF66LYI0dtefQmD7Z4AaABAg,"Dulu dikasih minum jamu enak banget sejak pandemi jadi nga ada, saya sdh 3 kali ke museum ini...",UCFOjjWxSPVdV0F1J89EnDkw,@kurniatinkurniatin1825,3,2023-02-12T09:38:28Z
UgwMItaYE24Ux0A54Dx4AaABAg,"Maturnuwun sdh diajak virtual tour ya mbak, baru tahu kalau ada museum secantik ini",UCrCWIcXIU9qarHs7SZ2zDlQ,@ajisunarji3592,2,2022-10-19T13:09:10Z
UgwaDBiKclLqo85nEXR4AaABAg,baru tau ada museum seperti ini..harus mampir nih kalau kesana😀,UCKl0TFkpN4imGDMN7NRFtAg,@MaulidinurAndFamily,2,2022-11-03T23:57:17Z
Ugyg6-v6EkSFEUal1Bx4AaABAg,Kenapa ga boleh memotret  ... ?  Biar yg penasaran bisa dateng langsung  ... strategi bisnis yg apik selain tujuan utamanya,UCL1nrRwzYvTh2k2wny5sStQ,@brigittaayu7689,2,2022-12-29T03:41:13Z
Ugyg0IMQCpioA29PCnt4AaABAg,"Saya yg 5 tahun tinggal di jogja, ini museum paling kereennn yg pernah sya datangi",UCWPbh8gz4zRdRvt5MXUA3hA,@pusiroacc4286,2,2023-05-31T10:42:31Z
UgyTEelmXJfzEEZ5vAF4AaABAg,Kak untuk tour ke dalam museum nya kita mesti antri lagi untuk nunggu tour guidenya kah?,UCTKuWc22hDqjjSefbXWdxTw,@firstyirani8395,1,2024-06-27T11:04:22Z
UgwRZMMOTo83wAjVyvh4AaABAg,ini adalah museum Mataram dan museum terbaik di Indonesia 👍👍,UCEw2W3NakrGcOOUOJhQjDJQ,@PiknikYuuuk,1,2022-10-21T13:30:46Z
9hPVFUVrRRX9hPYiYBqOkH,Iya betul kak..makasih ya atas atensinya..🙏☺️,UCpsfyeNCScEzgaA5nhePj8Q,@Elocer,1,2022-10-20T14:03:37Z
UgwK8Vn9Ilomxn6N0694AaABAg,"sangat inspiratif, dan informatif",UCnBEKeXlHgrldAr_ZCXyVgQ,@sekaryaofficial,1,2022-11-01T09:54:32Z
9hzemruF4Y89hzpgYz-Vje,Iya kak..cobain jika di Jogja.sejuk nyaman tmptna.hehe,UCpsfyeNCScEzgaA5nhePj8Q,@Elocer,1,2022-11-04T01:32:32Z
UgxeUu7qk6ni3EDWL7Z4AaABAg,"Uda lama banget ga ke ulen sentalu lagi, tempat nya adem suasana nya tenang disana, alasan tdk boleh mendokumentasikan dlm bentuk foto ato video sanga tepat dan benar juga si ya, supaya fokus dan mengedukasi, terima kasih info nya...resto nya keren asik nuansa nya",UCc1GjKSTB0keSZGJ0XnPGKA,@enyynr,1,2022-10-19T13:52:27Z
9hMxdqntAeO9hN0Qx6fiJ6,Hehe iya kak..terimakasih kak..☺️🙏,UCpsfyeNCScEzgaA5nhePj8Q,@Elocer,1,2022-10-19T14:25:30Z
