id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgzQe4yHsd2XIgt0K8Z4AaABAg,"TOLONG JANGAN SKIP IKLAN NYA YAH KITA BANTU KARYA ORANG LAIN ( BUNDA ROS)
DARI PADA NONTON YOUTUBER- ANAK MUDA PAMER HARTA - MENDING DI SINI BANYAK FAENDAH NYA-  YG SETUJAH LIKE-LIKE NYA HEHEHEHE",UCwBNPHt3U2tiu82vvSnXzRg,@hendrewdandy6069,173,2019-04-30T01:16:57Z
UgzAaQiYbcgCRuP3SeB4AaABAg,"Ikuuuuuttttt...
Ibu Nik....aku ngefans banget...
Aku jualan roti sobek pake resep ibu...terimakasih banyak😘😘😘",UCIM0VOtox4nzIcfFxVtYefw,@anastasyateressa1300,121,2019-04-29T22:01:00Z
8uKFnfu0oKl8uKG5VHUbok,Sukses ya dengan usahanya Smoga rezeki mengalir dan Berkah !😘😘💖❤,UCLII0CgnehW7h423--B9C1g,@NikmatulRosidah,44,2019-04-29T22:03:34Z
UgyvazTWkhLrZX2jjXJ4AaABAg,"Tbh, I just realize that Cassandra is awesome, she always looks calm and all, but she is not afraid to do everything..",UCkn6Z1uVGZbbsmssdpYr3-g,@silentwaterfall1552,41,2019-04-29T22:13:49Z
Ugwtn-byINxbfCBrUTt4AaABAg,"💜💜💜💜 Keluarga hebat,  aq masih single tp liat bulik sbg ibu dan istri,  aq udah halu bayangin ntr kalau udah berkeluarga pgn bs kayak bulik nik,  😂😂😂😘😘💕💕",UCAUtto7ob6O9TynXMAxmmJw,@AquilaEca,29,2019-04-30T00:54:06Z
UgzMrUe9g6gEAzzWN554AaABAg,Siapa yg nnton sambil senyum sendiri,UC-7Nc6nGThQ_HC5FXBb5Fnw,@astridastrid9934,15,2019-05-05T17:29:28Z
Ugx7N9OC0rtsByBwKpJ4AaABAg,Saya kulon progo mbk nik...,UCEcixmIRTroVxxZhuBKdxuA,@suyatisuyati855,12,2019-04-29T21:54:51Z
Ugy9x5INDXy0ca6MNIp4AaABAg,"asiknya mbak jalan2 ke kalibiru kulon Progo.. indah banget alam & pemandangannya.. hebat pada berani anak2 daniel, cassandra, carissa naik tangganya 👍🏻👍🏻 cakep hasil foto2nya Mbak Nik 👍🏻👍🏻👍🏻",UCv7sm7ahFxCyWZMnk8stXxA,@SyifainSwitzerland,11,2019-04-29T21:58:16Z
UgxwH3_jqKFN-TAIJZt4AaABAg,"30 mnt udh 1,3 rb yg nnton dn blm ada yg dislike! wowwww mantab bener!!! semangat trus",UCRy_4w0xC9yjDLvjtmCbCDw,@nvvon3210,9,2019-04-29T22:28:11Z
UgxbrJQPCkUBqvDWGgZ4AaABAg,keluarga bahagia ...adem bnget lihat kekompakan keluarga Mb Nik🤗,UCgKZ4auON67vL0gUyggjL4g,@masjoko2336,8,2019-04-29T22:12:39Z
8uKFnfu0oKl8uKU2lgeaeY,tambah sukses ya mb jualan roti sobek ny.....explore our skill 👍🙏😍,UCEy-EPLujd9kwEvrZK_KJ5Q,@rianariana6492,7,2019-04-30T00:05:31Z
UgwaGzruOWmoxq9Z3ph4AaABAg,"Aq yg dr Kulonprogo malah blm pernah,cuma liat di medsos,smg makin trkenal,trimqkasih mba promosinya..heeeehe",UCmxnKi3_9DzKO0YKsdqLmxA,@harapanjaya1433,7,2019-04-30T02:11:25Z
UgzWC307orq5qMHF0Md4AaABAg,cassandra cocok banget jadi model itu...,UC1D7e_MnT9GGQ6mbggdhXOg,@rizaldanayie,7,2019-04-30T01:27:29Z
UgxgPAs54OByPdk5C294AaABAg,Wow famili Dobson promosi Wonderful Indonesia Good job everyone👍kali biru sangat menarik bagi saya Terimakasih banyak😘😘😘😘😘,UCJxVrHYDUP3AERmkLcOiz-g,@hennytonjes4012,7,2019-04-30T00:13:16Z
8uKFnfu0oKl8uKHHKJuRF0,@@NikmatulRosidah amiiin... terimakasih..Tuhan berkati ibu Sekeluarga..😘,UCIM0VOtox4nzIcfFxVtYefw,@anastasyateressa1300,6,2019-04-29T22:13:55Z
UgwLT9iV7oErLpb1Vuh4AaABAg,"Kulon Progo, my home town  that I will always feel homesick for. ❤️",UCcjwCPY72dHAHmBNEoOMG0A,@nitawidyaputri3090,6,2019-04-30T08:20:38Z
Ugxlnibskg20BmcVYOh4AaABAg,"Bang paul sng lunjoh"" kok q sng gemeteran mbk nik😂😂😂. Sehat sllalu murah rizkine nggeh mbk😍",UCm_fVqgkt0RAyejL9tZhpRA,@trondolanbet976,6,2019-04-30T01:35:56Z
UgyBZTFpmWjN0DFEi3t4AaABAg,Nice😊😊very nice picture👍👍waapik tenan ikuu..photo2 nee mbak nik😍good job Child..best for Danil..Cassandra and Carrissa😘😘insya Allah Success always for Dobson Family😊Aamiin,UCSc-mOvgq9DA1zfOTWMBJ1Q,@rosseross4175,6,2019-04-30T00:35:00Z
UgxLqEqCXxeqleLG-9d4AaABAg,Oo my god mbak..u husband and kids know how to pose..so do u..god bless nikmatul rosidah and family..,UCQyjyrXq3-1Ekj-FZeHzKuQ,@habibie315,5,2019-04-29T23:41:54Z
UgyBgaeg3BsYjx1SeMl4AaABAg,"Salam sayang selalu untuk cassandra nggeh mbak nik..
Matur suwun🙏🙏",UCPp6dQgiY0rKQ8xZxDx3hiw,@mozashafa8223,5,2019-04-30T01:29:22Z
UgyU5b-DWJ3h0XfzEB94AaABAg,"Selamat datang di Kulon Progo bu nik....
Ngefans mndadak sma ibu nik akuu....
Salam dr kulon progo😊",UCmcYpXFu-l3LGhYZ_9LLXvw,@anismarlina6847,5,2019-04-30T01:32:53Z
Ugz6gXLRdvjf7YMFmZR4AaABAg,Aq sing ngilu mbak liat Mr.Dobson😅,UCpZOa9MFXXHAMT7kWzIogmw,@hannynursadirasyah6943,5,2019-04-29T22:47:51Z
Ugz7jLr0IWNQVgr1RXx4AaABAg,Cassandra just like a model... tall and beautiful.. 😍😍,UCBanJBnvOMXPSgE8k5xmgMQ,@navysari6954,5,2019-09-09T17:14:09Z
UgzJiypFRNkme-ILaTp4AaABAg,"Semoga sehat selalu mbak Nik sekeluarga.
Salam dari kita di Canada 😍😍👍👍🇨🇦🇨🇦🇨🇦",UCEJ6F2mFIZIKVjc2szwafjw,@kutubutarachannel2249,5,2019-04-29T22:17:15Z
8uKFnfu0oKl8uLsNOfDxBT,"Alhamdulillah, ilmu dri mbak nik brmanfaat utk banyak org. Semoga jadi amal jariah utk mbak nik. Aamiin",UC4L-yHfvzX-dFFijb_M3KwQ,@luckygirl9093,5,2019-04-30T13:06:02Z
UgyenJk5Wnff82seDvd4AaABAg,Aku ngliatnya aja takut pas Casandra mau naik itu Mb tp anak2 Mbk  Nik pemberani semua ya mb selamat berlibur Mb salam buat anak2 dan Pak Dobson,UCeqz-TF6CStrCrM7I5OIy7A,@rusmiyati6988,5,2019-04-29T22:41:11Z
UgyTGi9zv3PJXdSfv6x4AaABAg,"Mba..kunjungi Bandung dunk..coba wisata kulinernya..trus mba buat tutorial resep2 makanannya/jajanannya..kayak batagor..,cilok..,cimol..,seblak..,dll, yummy2 mba....",UCFmdiL4Xs64Rdls_NNg2QpQ,@diyahchandra1872,5,2019-04-30T03:26:11Z
