id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgxIqQrJaQrYZUnO6Pt4AaABAg,"SELAMAT SORE MAS AJI BERSAMA RARA TV...🙏😊

SUGUHAN NYA MAKIN INDAH...DAMAIKAN HATI😍💞",UCK-ObcI764KSI5-GBz87y4A,@saryfionadewi9087,4,2023-06-27T09:04:54Z
UgydPO-A4clWWfRyqWp4AaABAg,"Met sore mas Pramugara Aji Perdana RaraTV, salam sehat selalu, hadir siap menyimak 👍👍🙏🙏",UCtMDJquEMlZJHBckooAoLMg,@alberthuwa8063,3,2023-06-27T09:02:02Z
UgwDIqmzAbYm6DE2gLF4AaABAg,Trimakasih mas Rara...sdh diajak healing virtual di sungai Mudal yg cantik mepesona alamnya ...sungguh luar biasa ciptaan yang Maha Kuasa...ora mandeg sanajan dengkul wes ndredeg...sukses selalu mas Rara...dari saya pecinta Rara TV...Narada 1 mrican,UCc0tbKl4xU9MZTgSQwA2gMA,@veronicapuji5449,3,2023-06-27T12:37:32Z
UgxCBGoTSsaNxb8oY9J4AaABAg,"Batuan alami yang khas, di aliri air pegunungan yang sejuk. tetep jejeg senadyan ndredeg.Salam cinta negeri sendiri 👍",UC-ajn5ugdWQXi8_iQzRp_4w,@pakdejio985,3,2023-06-27T15:57:06Z
Ugyzx1Qp4F7ZYxI5Oe54AaABAg,"Pesona sungai mudal yang indah sekali ya bang, menjadi wisata yang menarik untuk para pengunjung nya",UCsU-U3PbutbJibdAH-EkrMg,@dolanwisata,2,2023-06-28T05:41:24Z
Ugy16pC1OJcrNDK0-k94AaABAg,ya ampun indah sekali disana..itu semuanya alami kan yah air terjun dan kolam nya..keren banget,UCKl0TFkpN4imGDMN7NRFtAg,@MaulidinurAndFamily,2,2023-06-27T21:05:19Z
UgxZ56QwcRWNhWFVy3N4AaABAg,Menyaksikan suasana alam yg indah hijau royo2 menyegarkan mata. Dgn iringan instrumen campur sari jadi makin nyeesss. Maka ngga salah jika mas Aji selalu serukan cintailah negri kita tercinta yg indah ini. Ok salam sukses....wong ngapak Baturaden Pwkt Jateng.,UCsWqiGmeTqEfnsNTPpLFpDg,@susriyadiyadi5506,2,2023-06-27T11:08:55Z
Ugzc3BwR_BCob_iBngR4AaABAg,"Matur nuwun Mas Aji, semoga Mas Aji dan crew Raratv selalu sehat sejahtera",UC-ZyKPXXMKTnGfAxF_owxWA,@snstarlight331,2,2023-06-27T10:30:23Z
UgyFkdRS2ZDB1RaXBVJ4AaABAg,Muanteppp 3 th lalu kesana Om -  kalo malam ngeri2 sedap - gelap pollll 🤭🤗 #ekowisatasungaimudal 🛵 👌,UCSelhzdqS1XIDdzbLnMl7cA,@clarestastellaaletta,2,2023-06-27T11:44:08Z
Ugwaq4AvONpjk8Vp7xh4AaABAg,"Dengan cuaca yg panas  rasanya ingin menyeburkan diri ke dlm kali mudal airnya benig dan bersih pasti Seger banget Makasih RaraTV sdh memberikan yg Seger"" utk ditonton Heheheee",UCkgRoZvXruSANhO8S3s_rjA,@MERPATI308,2,2023-06-27T10:07:09Z
UgwTjkxKeF1rcSVGSz14AaABAg,Saya senang menyaksikan youtube raratv karena Ngayogyakarta adalah kota kelahiran saya yaitu di jetis pasiraman. Nuwun. A.Djalil Poerbo.,UCN4T4EQXkJwbQrWpxiXVoUw,@abduljalilpoerbo8224,2,2023-06-27T10:03:13Z
UgwNirfn8gyQJQKQ1Tx4AaABAg,Alhamdulillah..sayapun sudah pernah berenang di atas dengan air yg berwarna hijau memang assyik lah,UCInn6tUwqNY_Yc16x92MrMw,@sitijuariyah6600,2,2024-01-07T00:37:37Z
UgwWjPIwqALqvr4iyzx4AaABAg,Salam hangat dan salam kenal dari Bandungan Ambarawa semarang JAWA Tengah,UC9jPW8QcwHMGHctam4_XvOw,@Alun_Alun_Bandungan_Channel,2,2023-06-27T13:42:08Z
Ugx-oY5FFIOlDyxqdaF4AaABAg,"Sungai mudal ,jernih dan biru airnya sangat segar dipandang apalagi nyemplung ya",UCbaj8_3wBzprqr5qsXYnpYg,@LifaBudaya,2,2023-06-28T20:12:25Z
UgwgD26auavvNvmUTIJ4AaABAg,"Nyimak komplit sungai mudal mantab, oke salam sehat ya..",UCy0rMJR4ElEtvYvfX_OYhoQ,@tvtaniternakhcs8045,2,2023-06-27T20:19:41Z
Ugz-yLGIG827R-403MB4AaABAg,Wah sayang banget mas pas air terjunnya mengering...untungnya kolamnya tetep terisi penuh dengan warna biru muda wkwkwk....,UCHEmoaF2w96QGdE4y4C1LBg,@Nonactive_11,2,2023-06-27T09:45:18Z
UgwBDPwrwYrIwUpOVnB4AaABAg,👍👍😎👍👍,UCbnvAhi2d3QWE84WddY3t3w,@bagasahzafanichannel5960,2,2023-06-27T09:08:20Z
UgyVOVPUZOkKPIvalpd4AaABAg,Warna air sungainya bikin seger .. dan pemandangan alam sekitar yang mempesona,UC0rdhJyRQ2BR1zJIAPA4zNw,@Arkachannel69,2,2023-06-28T06:54:14Z
Ugx56j_HVtpBdEwSiIl4AaABAg,🙂👍,UCJ4rOswmqeBxjRwiCPiyQ1w,@purykameraterbang8945,2,2023-06-27T09:03:20Z
9rSkGNNuDwy9rV9Su_LA5u,"​@@RaraTV-Channel
AAMIIIIN...YA ALLAH...😊🤲💞",UCK-ObcI764KSI5-GBz87y4A,@saryfionadewi9087,2,2023-06-28T07:32:17Z
UgzO0LwLTUpCxFeppPF4AaABAg,Alhamdulillah saya dah sampai malahan dua hari berturut turut pada tanggal   14&15 Pebruari 2024 dengan jalan yang liku2 serta curam wah pokoknya rem motor harus pakem,UCUpdvNMwHdv6SBmjUcSwdSw,@wagiwagi531,2,2024-04-01T10:03:14Z
9rSkGNNuDwy9rTM4eWyJ--,"​@@RaraTV-Channel
HALLO JUGA MAAS...😊
IYA...MAKASIH JUGA SUGUHAN NYA YANG INDAH DAN BERMANFAAT INI...🙏😊",UCK-ObcI764KSI5-GBz87y4A,@saryfionadewi9087,2,2023-06-27T14:44:05Z
9rUCWMO1mnL9rU_jQzUQ8_,Wa’alaikumussalam mas 😁🙏 Terimakasih banyak atas atensinya selalu,UCyQFsPC0DLGoDVMC5Yr1O9g,@RaraTV-Channel,1,2023-06-28T02:11:22Z
UgxbXmqfLcZ14iwZbFd4AaABAg,Tempat wisata sungai mudal Masyaallah indah sekali mase... Sehat selalu n sukses terus mas...,UCyAARPn02MuAAfyTPmSUU0A,@rentmotovlog,1,2023-06-28T03:49:45Z
UgyLFiHl-VaxSIvepxR4AaABAg,hadir masse ikut jln2 mantul sekali👍👍👍,UCbIlx_W-GLssLimg9zOBUqw,@alfathihtheboy412,1,2023-06-27T11:09:32Z
UgxAy81PYmRqoM8qD9N4AaABAg,Sumber daya alam yang paling kita butuhkan adalah air... Dimana semua tidak bisa lepas dari air.. Maka dari itu peliharalah sumbernya.. Mudah mudahan jadi berkah bukan menjadi musibah...mari kita lestarikan dan jaga air agar tetap mengalir.. Hatur nuhun mas aji dan rara tv,UCnDQGh1Zr-UTRunRsl9UdFw,@adangsuarna7539,1,2023-06-27T11:35:59Z
9rT1UY27G8v9rTMRykeKr-,Wah iya klo malem minim penerangan kak 😁,UCyQFsPC0DLGoDVMC5Yr1O9g,@RaraTV-Channel,1,2023-06-27T14:47:16Z
UgzLqlCJYAk6uqsX7cl4AaABAg,Ini kalo kebawah sungainya di air terjun kedung pedut ya mas.. mantab kulon progo menyimpan wisata alam yg masih asri..,UCu3zwVfQg7V0TpPD3_rMwCw,@duapejuang,1,2023-06-27T12:02:05Z
UgzHsQeBt0LSC18f_z14AaABAg,"Waahh mantap tuh mas, lokasinya asri sekali, itu kok ada stalakmitnya ya mas memang ini aliran sungai dr gua apa ya mas",UCN5IjNuvBCXBEQWbOJd24RQ,@mariyah8164,1,2023-06-27T12:22:36Z
Ugxw2I7w8g1HxcZxDeB4AaABAg,*_Matur nuwun mas Aji liputan nya yang selalu hadir memikat hati sangat selalu indah_* 👍👍,UCWsvcPHCJ4XtKYPIQjUR1qg,@arisyuwono1192,1,2023-06-27T12:43:49Z
9rTEZIt1FGq9rTVxinl0Eu,Joss pokoknya masse 😁👍,UCyQFsPC0DLGoDVMC5Yr1O9g,@RaraTV-Channel,1,2023-06-27T16:10:23Z
UgxBXyCtWKlXhujmLEV4AaABAg,"Jernih sekali,seperti sungai are😱",UCLWBIMz6cTZ103l4EvzWJhQ,@Nathia_AS,1,2023-06-27T13:24:21Z
9rU1hmyaQnK9rU_h3fvL7A,"Iya betul sekali kak, semuanya masih alamiah 😁👍",UCyQFsPC0DLGoDVMC5Yr1O9g,@RaraTV-Channel,1,2023-06-28T02:11:02Z
