Comment_ID,Author_ID,Author,Text,Likes,Comment_Date
7253678043121386246,6637822396488007681,flowerpuff_22811,kamarin sabtu 8 Juli kesana bagus polll👍,3,2023-07-09T11:55:43Z
7255994354607571717,7144673506490532891,ssyuliw76,pernah kesana,3,2023-07-15T17:44:07Z
7252902470091260678,6794033342711989249,sukiyemm1,pernah ke sana bagus banget pemandangan nya.,3,2023-07-07T09:46:11Z
7274908867112338181,6570179767923851265,jeepgumukpasirjogja10,Jogja istimewa….👍👍👍,2,2023-09-04T17:02:18Z
7278606186475193093,7175817291950801946,m.ayyngsr,aku tanggal 24 ksana cuyy hehee😅,2,2023-09-14T16:09:47Z
7289605864457224966,6967888581059888130,pengikut_92,pernah kesini akhir tahun 2019😅😅,2,2023-10-14T07:34:12Z
7281116393499198214,6718630877494805506,happyshoping1.2,baru kemaren aku kesitu😍,2,2023-09-21T10:30:37Z
7278678230038627077,7170705377499218970,black_bloww,November saya otw sama sekolah saya,2,2023-09-14T20:49:14Z
7254576700054455046,6958334261501936641,user2357052416272,padahal geg mben mlebune gur 5ewu wong 4 Saiki mahal,2,2023-07-11T22:02:59Z
7255986467939664645,7124160735298634753,shauma59,pernah kesana tp capek naiknya 😁😁,2,2023-07-15T17:13:39Z
7253059863213916933,7080125062501893122,sulistiyowati1261,"bagusnya emng sore"" gini jadi g panas bngt dan berdebu",2,2023-07-07T19:56:45Z
7253072335220163334,7166954650687702018,aben_233,info masuk tebing breksi brpa skrng +ongkid parkir mobil? 😂😁,1,2023-07-07T20:45:08Z
7263856998752469766,6881556497064772609,fitriampit9,ka tebing breksi baby friendly ga ? ada yg tau kalo ada yg tau jawab ya huhu,1,2023-08-05T22:15:16Z
7294830281662907141,7061544876164645889,angelinaangelina387,ada jasa tukang fotonya apa kak?,1,2023-10-28T09:27:29Z
7314900903646118662,7289814492661236742,elsa.fitry3,"krn mau ke tebing breksi jdnya liat video ini, maacih videonya",1,2023-12-21T11:31:39Z
7267524254864982789,6931662713988170754,tari_taro2303,@🌺Denok🌺 uda perna kesini belom...??,1,2023-08-15T19:26:02Z
7263516424353448710,6672729537664664577,ikasusilowati3,satu bln yg lalu kesana dan Kepingin Kesana Lagiii 🥰🥰 Keliling Naik Jeep Jelajah tebing Breksi😂,1,2023-08-05T00:13:38Z
7318322157531890437,7273546013264626694,hanami.kitchenware,Dr kota jogja kesnin brp jam,1,2023-12-30T16:48:00Z
7279261757763404550,6955672008744420354,csy00nie,keinget bis sekolah gue rem blong🗿,1,2023-09-16T10:33:42Z
7278178219853234949,6852272647042384897,fanikusuma94,bisa akses bus?,1,2023-09-13T12:29:10Z
7314874823960003334,6819990081798341634,us3rname1998,buka jam berapa ka,1,2023-12-21T09:50:40Z
7314706186405118725,7037712873204696091,shiputttt,tahun sekarang htm berapa ka,1,2023-12-20T22:56:03Z
7267521307335803654,7238766348376523777,seribuduaribu22,tebing breksi wisata bagus murah,1,2023-08-15T19:14:37Z
7280971179946148614,7024915375092040705,ochiii_0,@- ayo rene wkwkw,1,2023-09-21T01:07:03Z
7279045869419578117,75635138856,ss_sobatsisi,koq sekarang berlumut gitu sih tebingnya,1,2023-09-15T20:35:49Z
7322061441618445061,6544538879801540610,ceomukafilter,"kak foto sendiri pake hp , ga boleh ta kak ?",1,2024-01-09T18:38:09Z
7274790241105183493,7187622681489966082,hestiyunanti,wezt tau rono 😅,1,2023-09-04T10:33:21Z
7279359080320369414,7067029401216959489,ranisameeh,"tadi aku lewat doang udah pulang dari pantai Parangtritis candi Prambanan Malioboro
kalo boleh tau bayar gak masuknya",1,2023-09-16T16:51:14Z
7302810762443211525,7217271192230413339,aisyahaurora33,bulan Desember harga sama ap beda ka,1,2023-11-18T21:35:48Z
7253067913085747974,7190065379359687681,user294798782704,udah ke sana ..baguuus,1,2023-07-07T20:28:00Z
7304537297369334558,6912786091905336326,triwul31,itu Deket rumah q kak 🙏,1,2023-11-23T13:15:48Z
7276209104703308550,6552167592613838849,leiamarlina00,htmnya brapa ya skrng,1,2023-09-08T05:07:50Z
