Comment_ID,Author_ID,Author,Text,Likes,Comment_Date
7304988392033682182,6744309768217428994,aprillyaayaa,Jogja tunggu aku ya,1514,2023-11-24T18:26:02Z
7305931205329158917,6899812135577945090,afandi_170,"padah baru kemarin ke Jogja, eh sekarang pingin kesana lagi.
emang boleh serindu ini sama Jogja",804,2023-11-27T07:24:56Z
7304994718751982341,6929134191096054785,akufrozen_12,GAMON Ama Jogja 😭,259,2023-11-24T18:50:41Z
7310135463293534982,6802142508966298625,theyl0vepin,pgn ke jogja lagii 😓😓,130,2023-12-08T15:19:41Z
7306372316739748613,7131254242949956634,rzaaantikewan,aku dan temen SMP + JOGJA WAKTU ITU☺️,79,2023-11-28T12:52:42Z
7306456421650367237,6645631084741885954,serdadu059,Jogja emang istimewa ngangenin.😁,52,2023-11-28T17:22:57Z
7309373747310658310,6654059506904236034,cutdeay,bingung mau Jogja atau bandung:),49,2023-12-06T14:03:31Z
7304989241191383814,6979092259967403009,team_area_sumber,kak doain aku selamat di perjalanan ke Jogja Malam ini ya,41,2023-11-24T18:29:21Z
7346718235873510150,7044063088857236481,graecella,ci² nnti kmu kembali lgi di Jogja,33,2024-03-16T05:19:15Z
7310170027981046533,6911741859048293382,stroberrry0,"pengen cepat"" lulus,biar bisa kuliah di Jogja dan bikin rumah disana",23,2023-12-08T17:33:28Z
7312069886968169222,6891440833997374465,gabut_2348,fyp gue Jogja terus,18,2023-12-13T20:25:56Z
7308117233027777286,6849521237158806529,nsaazztl_ftr0,@too:yangg tinggal di Jogja beruntung bangettt ya:(,11,2023-12-03T04:47:39Z
7306438831422849797,6941222904248697858,fau_zan168,"berapa harga tiket Medan ke Jogja?
plis info manteman",8,2023-11-28T16:14:44Z
7307125539197666054,7077744144764126209,vanniilaaacho,"Jogjaaa tunggu akuuu yaa, bntr lgi ko😁",8,2023-11-30T12:39:28Z
7313861345840579333,7075670124175524890,trisiaa_cell,"kemarin ke st ke Jogja,jadi kangen di Jogja 🥹🥹🥹🥹",6,2023-12-18T16:17:44Z
7311019586324972294,7276339999611831301,cintahhhhhhhhhhhhhhhhhh,"di Jogja emang singkat
tapi kenangannya hebat",5,2023-12-11T00:30:15Z
7312812023241736966,7193221471077925890,sc.lynaaa,gmonnnn jogjaaaaaa😭😢,4,2023-12-15T20:25:43Z
7311265282978185989,6929056515476014082,irinejenniferafcalita,jogja tunggu aku,4,2023-12-11T16:23:44Z
7315770905815155461,7285269508121183237,your.gril31,aku kamu Jogja waktu itu😁,4,2023-12-23T19:47:40Z
7309432506138166022,7135257787885929474,ka03y_,moga bisa kuliah di jogja,4,2023-12-06T17:51:33Z
7334366033946166022,6862229862943327234,skyiess_l0ve,"sore itu di jogja, waktunya untuk pulang dan meninggalkan jogja waktu itu😔💔",4,2024-02-11T22:26:18Z
7310149082838991621,7142394032542024731,corrin1ove,@tifibukantivi pls jogja dri tdi fyp mulu cha😭,3,2023-12-08T16:12:12Z
7312030799996781318,7062652554123379713,safaasukapashaa,Jogja tunggu akuuu😁,3,2023-12-13T17:54:14Z
7309607976930198278,7238956888964006918,fitriajaaa11,Jogja tunggu aku sukses yaaaaa,3,2023-12-07T05:12:37Z
7309104855732896517,6882533412696622082,callmenana_010406,Jogja tunggu aku kesana yaa akhir tahun ini 🥺,3,2023-12-05T20:40:03Z
7311247801249530630,7090190012004271105,iky_ivan,jogja tunggu aku yang ke sekian x nya ☹️,3,2023-12-11T15:16:02Z
7309624654028473093,7157339739652834330,urlovee.amandaa,@Zavi〡BSK:bingung mau Jogja atau bandung:),3,2023-12-07T06:17:17Z
7311844792646779649,6878393083060421634,selalu.letih,gw bakal ke jogja 3 tahun lagi dan gw harap ga ada keindahan jogja yang berubah kedepannya:)),3,2023-12-13T05:52:52Z
7333094058581672710,7129769845345076250,sryid5,I fell in love with Jogja,3,2024-02-08T12:10:31Z
7346163241137734406,7144619122995168258,shnndira_,pengen tinggal di jogja,2,2024-03-14T17:25:33Z
7310355633667769094,6958386755914613762,frn.siskaa,mau jogja sekali lagi:(,2,2023-12-09T05:33:53Z
7312715457382187781,7231093347014984706,avvkyud_,Jogja tunggu aku besok Sabtu tanggal 16 Desember aku kesana buat tanding karate🥺😁,2,2023-12-15T14:11:09Z
7314658019597107973,7241796517441750021,lieee_naazel,Jogja with u?,2,2023-12-20T19:49:11Z
7311958686284153606,6984600333046744091,n.asilaa,Jogja tunggu aku ya,2,2023-12-13T13:14:31Z
7309456703715705606,7231469604870046746,urlovee.keii,vibes di Jogja seru banget sama kawan-kawan,2,2023-12-06T19:25:21Z
7310993003374723845,7273860761042125831,garellv,"Jogja tunggu aku ya,aku bakal bawa orang terindah dihidup ku",2,2023-12-10T22:46:58Z
7310036694316040965,6917052476827386886,.__________________rehan,baru aja balik dari jogja,2,2023-12-08T09:56:40Z
7312406379636835078,7298217287835567109,yanzztoyaa,Kangen jogja😔,2,2023-12-14T18:11:43Z
7310942646691660550,7118095033627558938,qilaaasedangggalawww,@dindaaaa:Jogja tunggu aku ya💝,2,2023-12-10T19:31:40Z
7311969664862651142,6983258464705430529,cantikaams_,mauuu tinggal di jogjaaa,2,2023-12-13T13:57:13Z
7311969664862651142,6983258464705430529,cantikaams_,mauuu tinggal di jogjaaa,2,2023-12-13T13:57:13Z
7347175028700529413,7232869910107685890,ilvvnnazz,seindah ituuu jogjaa seperti@Shani Indira 💓😋,2,2024-03-17T10:51:48Z
7311697800843576069,6976512599132767233,mas.uttawjy,"tepat hari ini satu tahun aku jauh dari jogja, sampaikan salamku kepadanya kalo aku merindukan setiap momen bersamanya 🥺",2,2023-12-12T20:22:00Z
7310395866920125190,7103134158993966082,frdiiajah_,jogja tunggu ane punya ipn heeh,2,2023-12-09T08:09:54Z
7311662437157159686,7244534318214480902,chaaichaa333,"26-30 2022.
Uda mau stahun..",2,2023-12-12T18:04:56Z
7310835508971012870,6956314196212466689,20yaya_,@𝐟𝐞𝐚𝐫𝐥𝐞𝐬𝐬𝐰𝐢𝐟𝐭𝐢𝐞:mau tinggal di jogja,2,2023-12-10T12:35:56Z
7313597221971051269,7103756845198083099,lynnecx,@jess 😁,2,2023-12-17T23:12:45Z
7312443344721265414,7027652981705442330,strfotnazrh,jogja tunggu aku di tahun 2024,2,2023-12-14T20:35:05Z
7313149980683780870,6956934466015626242,cipa21.05,@faku rasabar fa😭,1,2023-12-16T18:17:15Z
7334274683216691973,7101906860164498434,aprill1y4,@𝖎'𝖒_𝖑𝖎𝖓𝖟𝖟  masyallah bgt vibes nya😭,1,2024-02-11T16:31:52Z
7312030727066862341,7147682655886181381,rikamuliati_,3 kali bersama orang yang sama@sattya 20 ❤❤,1,2023-12-13T17:54:02Z
7311297071721661190,7222261127107134491,fisaa_24,pgn ke jogja lagii 😓😓,1,2023-12-11T18:27:02Z
7336802096375464709,6665842020147380225,kecapmanisss,"aku,kamu,dan jogja suatu saat nanti",1,2024-02-18T11:59:34Z
