id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
Ugx14Y3iVEFL5N40s8N4AaABAg,"really dude... *""Bernard""?* bro wasn't even trying 😭",UC6wLnTqPu_v8VWJhbzoHCqA,@Chicken_And_Cardboard,333,2024-05-26T20:13:06Z
Ugyb06Mi1nKvI4qnJSt4AaABAg,You’ve Gyatt to be rizzing me right now,UCRzi2lRYRCb6OO50NdeDj8w,@fire-sj2jg,230,2024-05-26T20:11:12Z
UgzHlJiLN4RCNt13xJ54AaABAg,Bernard is wild bro. On skibidi 💀 🙏,UCrkuXu-u2G8dEyAnut_HcBg,@spooderman12321,142,2024-05-26T20:10:26Z
UgwHcEbV4piobK9jUMh4AaABAg,WE GETTING BRAINROT WITH THIS ONE 🔥🔥🔥🔥🔥🔥🔥💯💯💯💯💯🗣️🗣️🗣️🗣️🗣️🗣️🗣️🗣️,UCSaAHjoInqcfKUYNed4maQQ,@stuf638,72,2024-05-26T20:10:16Z
A3uyEdFcox1A3v36OjNMHS,"You got me ! My name is Bernard Hartwell White. I live at 308 Negra Arroyo Lane, Albuquerque, New Mexico, 87104. This is my confession. If you're watching this tape, I'm probably dead, murdered by my brother-in-law Hank Schrader. Hank has been building a meth empire for over a year now and using me as his chemist. Shortly after my 50th birthday, Hank came to me with a rather, shocking proposition. He asked that I use my chemistry knowledge to cook methamphetamine, which he would then sell using his connections in the drug world. Connections that he made through his career with the DEA. I was... astounded, I... I always thought that Hank was a very moral man and I was... thrown, confused, but I was also particularly vulnerable at the time, something he knew and took advantage of. I was reeling from a cancer diagnosis that was poised to bankrupt my family. Hank took me on a ride along, and showed me just how much money even a small meth operation could make. And I was weak. I didn't want my family to go into financial ruin so I agreed. Every day, I think back at that moment with regret. I quickly realized that I was in way over my head, and Hank had a partner, a man named Gustavo Fring, a businessman.  


seriously though thank you bro for another huge supporting dono!!! always appreciate u chicken and cardboard!!
Common Chicken W",UC3mB75p33VLYk3nv2SOVrmw,@MemeZee,45,2024-05-26T21:04:24Z
UgyFJHoDJrhzsyFan6x4AaABAg,"Man, I love Bernard! My favorite cartoon cat!",UCaubA75_8rG9ftLhb5GKnVQ,@AnthonyDaBestYT,33,2024-05-26T20:10:50Z
UgwRcTmy7pGvtEDThbZ4AaABAg,Wut day haill,UCQ-D4ycWOY9H4JBgUv8Cn4Q,@M0RTAL.,33,2024-05-27T03:49:50Z
A3uyEdFcox1A3uyU_o71MW,Erm what the sigma That's alot Money But You have w Rizz,UC0pFZPUWEknqrcPfVVcijaQ,@J2_RandomZ,32,2024-05-26T20:15:17Z
Ugyl935cmbXWOvtfER94AaABAg,"*Timestamps for the video*

Start: 0:00

1st second: 0:01

2nd second: 0:02

3rd second: 0:03

4th second: 0:04

5th second: 0:05

6th second: 0:06

7th second: 0:07

8th second: 0:08

9th second: 0:09

10th second: 0:10

11th second: 0:11

12th second: 0:12

13th second: 0:13

14th second: 0:14

15th second: 0:15

16th second: 0:16

17th second: 0:17

18th second: 0:18

19th second: 0:19

20th second: 0:20

21st second: 0:21

22nd second: 0:22

23rd second: 0:23

24th second: 0:24

25th second: 0:25

26th second: 0:26

27th second: 0:27

28th second: 0:28

29th second: 0:29

30th second: 0:30

31st second: 0:31

32nd second: 0:32

33rd second: 0:33

34th second: 0:34

35th second: 0:35

36th second: 0:36

37th second: 0:37",UCKxt3o2hd_lIQmLa5A8wPtA,@MrCommentGod,15,2024-05-26T20:10:10Z
UgzjwT_GHynpTpmWJ_h4AaABAg,WE PUTTING IT ON SKIBIDI WITH THIS ONE🗣️🔥🗣️🔥🗣️🔥,UCq7wxHsCd4mSzm3YtTSZWhg,@DepressedCharges,12,2024-05-26T20:11:16Z
