id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
Ugzxgt4SEU3VHqPeHU54AaABAg,Wahhh ternyata luas ya tempatnya dan baguus ukiran ukirannya. Dan View nya cakep bangeet,UCERchUdjGdmXLvLb2T4xIvQ,@explore_family,4,2022-10-11T08:25:07Z
Ugxm-ipsmTBrrZZ_3a14AaABAg,Sering main kejogja tpi baru tau dengan tempat wisata ini...cantik banget tempatnya serasa bukan dijogja 😊,UCPnypIn7HTRIb5hQL5_rthQ,@udinchaneel0566,3,2022-10-07T20:31:10Z
UgzI5AkAgEY01WmNLoh4AaABAg,Hadir kk ijin nyimak ya indah banget emang wisata tebing breksi salam teman baru dari minomartani sleman,UCj7aakIcvjMnhQ0UFS2gUGA,@lusianachanel8341,3,2022-10-05T16:13:38Z
UgwkcXUX0LNKQSWwO4x4AaABAg,"Keren tebing breksi..indah dan layak dikunjungi...makasih sudah sering perjalanan menuju tebing bresi, kak",UClm0DCOudKPjDYk2c6lpuig,@edukasispiritualnusantara9145,3,2022-10-11T15:10:20Z
9nQyvoreWqJ9nR1vstW95t,Silakan kak. Terima kasih sudah minta ijin dahulu 🙏,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,2,2023-03-19T07:03:56Z
UgwYPOuFuYuUTI9itRZ4AaABAg,"Terima kasih informasinya kak, bagus ya tempatnya, kuliner juga murah meriah. Aku orang jogja tapi malah belum pernah ke situ🤭",UCH_Inr4hN3rQOIY4Z_qySvg,@AlshaDiic,2,2022-10-22T07:35:53Z
Ugw_OEY4elNr-lyFLVh4AaABAg,ternyata indah sekali taman tebing breksi. Lukisan batu alam yang alami.,UCwuE8Pbq-JO0D0I9euI6lsg,@feminovieta,2,2023-01-22T04:06:59Z
UgxmePAL2AABzmj9Djx4AaABAg,Naik jeep di tebing breksi brpa rupiah kira2 ya,UCDSUNzaEJIRDRYHCxRGda5A,@aahikila9751,2,2023-01-06T12:07:10Z
Ugwv8uuODQDnU44kmlx4AaABAg,Beautiful spot !,UCZOuidXlN6puiV8fQgJVd3Q,@pjourneys5337,2,2022-10-07T22:24:35Z
Ugyu5qsLTvefyean3_l4AaABAg,Assalamu'alaikum kak.. wah tebing breksi sekarang semakin rame dan pemandangan alamnya dan kota Jogja sangat keren.. tempat wisata yang wajib dikunjungi saat dijogja 👍,UChxEMBJZvAji74opCmZpdFg,@budikerjan,2,2023-01-26T13:49:20Z
Ugze4kZk_gaSyBoAV094AaABAg,Hadir sahabat... tempatnya cantik sekali..tida heran lah tempat Daya tarikan para pelancung..Salam kenal sahabat..,UCsh-0WTsK-spJTAatt_QvRw,@auntywinchannel4857,2,2022-10-06T05:30:39Z
9go9fdxphMz9gqeBufSeGW,"Salam kenal, Kak. Wah, pasti nyaman tinggal di Sleman. Banyak tempat wisata menarik.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,2,2022-10-06T15:27:32Z
9h8leoKmRNH9hBPGLdAc-6,"Sip, Kak. Pastikan batere kameranya full, soalnya banyak spot foto menarik disana.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,2,2022-10-15T02:11:37Z
UgwJTizhh4HyPrlByPt4AaABAg,Pemandangan alam yang sangat indah dan luar biasa 👍,UCQouGnVIKVyAzEfB2a2AjVg,@balvirchannel2331,2,2022-10-05T03:40:12Z
UgzGmd_YuUyYcWzUXmV4AaABAg,Keren ya tebing breksi.... Tapi selalu ramai disana.. Plus jalannya nanjak banget ya kak....,UC83h3NE53h6q57Ywyjar1gA,@melliewulandari4091,2,2022-10-12T04:15:14Z
9h2VCE5y0AV9h69WYCDruQ,Sama2 🙏,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-13T01:17:49Z
UgwV6Gz3A7yiikoVdw54AaABAg,Wahh seru banget nih Kak,UCcsXA0OV-9R_s145t6XWyFA,@TravelerJakarta,1,2022-10-11T04:42:12Z
9h2F22Xr2K89h2R6il9Avl,Terima kasih,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-11T14:34:37Z
9h3u12okHJD9h69P75yxmw,Iya jalannya nanjak tapi ga curam2 amat.,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-13T01:16:48Z
9h1lpL63H889h27BLBqvUE,"Iya, Kak. Tempatnya bagus banyak spot foto menarik.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-11T11:40:29Z
UgwqeynkBLyKjAQkIKR4AaABAg,"Tebing breksi...spot foto nya bagu2, sukses kawan 👍👍",UCSWtwqpI3hPuWlHSW9dVg4Q,@AHONGCOMBROTE,1,2022-10-11T05:52:28Z
9h1VMOpaLML9h29zUB5L80,"Terima kasih, Kak.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-11T12:04:57Z
UgyMl27vuwIOe1O_njN4AaABAg,Vidionya keren banget❤,UC9P8LA5uYq1U3AraKoVVtcg,@MeutiaMalahayati,1,2022-10-11T12:49:08Z
Ugzg6keT_PtAC3DQ20p4AaABAg,kemaren aku habis dr situ,UC6tF3IouyfAlPKX2kK6lTYg,@lekharyono,1,2022-10-12T11:33:42Z
9h1NJewYKeE9h1RS5C0SS7,"Terima kasih, Kak.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-11T05:18:18Z
UgwFJAVl34_mgnnSf2x4AaABAg,Salam kenal kak dari Assyifa di Semarang 😚😚,UCWs5po7M3I8RhZ1hniQCUww,@assyifa_beesoon,1,2022-10-09T22:49:29Z
UgwHtvdot-NWb-yoXJx4AaABAg,Keren sekali pemanfangan tebing breksi jogja tetkini,UCuEn4vB_Y9YZZ0_03Szenzw,@SEBLAKPALU,1,2022-10-12T05:10:24Z
9gzA9W0muit9h-UR-O7AOG,Salam kenal. Terima kasih sudah berkunjung.,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-10T11:05:53Z
UgwSKWb4Fbc8Rk56Bqd4AaABAg,Pemandagan yg indah mas lanjutkan semoga sukses selalu,UCSC2YfwmItAg8CWHxU1Oedg,@Pangkasrambut96,1,2022-10-08T21:29:19Z
9gwSBST4fRU9gwqYdQLIM-,Terima kasih.,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-09T01:10:56Z
9gtyiMqZNZ_9ih0k3iLgnF,It really is!,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-11-21T14:43:42Z
9gtljgsGyg_9gv4vPjkipk,"Iya, Kak. Tempat wisatanya semakin bervariasi.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-08T08:46:47Z
UgwK0Av2tXwqTwlLNL54AaABAg,Woow this is amazing because place enjoy the view,UC-FUxb9EfANCY_wjjP80WlA,@MaiPaiMixedVLOGS,1,2022-10-06T10:00:26Z
9gq3l5xWqCB9gqeeM3lNJ-,Ty for your support.,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-06T15:31:33Z
9gp_tBW-a8V9gqexJ62cKK,"Salam kenal, Kak. Terima kasih atas supportnya.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-06T15:34:09Z
UgygoKgJKe_b43Mg52l4AaABAg,Keren banget,UCofpfF_wHGayItldAFU6jKA,@priskilalingling,1,2022-10-05T12:18:35Z
9gnjm8-KVcv9gnkNeOtqMY,Terima kasih sudah berkunjung.,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-05T12:23:51Z
UgzDitlgqeLQAeZhL8d4AaABAg,"Mantap wisata"" nek jogja nggeh , selalu ramai tebing breksi🙂",UCyx8SJqEMb_suuehao_83lw,@sikiljepara3820,1,2022-10-05T03:09:50Z
9h4-L3Qvwgd9h678P8UBHb,Iya Kak.,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2022-10-13T00:57:03Z
9gmkyxPJA6l9gp3URqNOqD,@@AltheusFamily angen angen mudahan dapat kesana kota jogja 😄👍,UCyx8SJqEMb_suuehao_83lw,@sikiljepara3820,1,2022-10-06T00:38:47Z
9oP2LjhN7f-9oPqrzZz1zh,"Ayo kesana, Kak.",UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2023-04-12T16:30:41Z
Ugyegb-kje7915hcDeB4AaABAg,haloo kak izin ngambil beberapa scene vidionya buat tugas sekolah kami,UC2GfzUQbZLAlR9C_bqgO-ug,@najwaaqilah-xm5zr,1,2023-03-08T07:56:13Z
UgzktqRyI-0FoEDPJLd4AaABAg,Tebing berisi bagus tempTnya,UC4JfZJo6PDwCcyzefusNuUQ,@KehRtRvyatys-ns2ky,1,2023-10-08T19:04:04Z
9vc1huypuTC9vfAHmVFSNl,Iya kak,UCijjgmHdq8l_kJENqDcQy3Q,@AltheusFamily,1,2023-10-10T00:16:44Z
