id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
Ugw0RpteR5ZCJfRP5_R4AaABAg,Siapa yg pernah kesini like,UCla-7bofN-kAuBrD5RQ8nLg,@Just_Suf13,6,2019-11-09T14:54:59Z
UgxgibWCK08yi3fECxt4AaABAg,"Tempat nya keren sekali kak,,pengen berlibur kesana👍👍👍",UCcehyjnGUKQabhudwjAGS8Q,@wandraalfyanofficial4837,5,2021-02-16T12:55:36Z
Ugz6MI63-Jt2mqDNQ6h4AaABAg,Puanasnya joos... banyak minum air putih pas disitu broo,UCSL98L-okFsmlSRD1qpGkXQ,@krisninaapriliamaharani6546,4,2020-01-29T02:43:04Z
Ugy8uR87c_nd6f9zSUJ4AaABAg,Sy prnah k sini tmpnya keren👍😀,UCGtjG5Mj3P9onnfMF7xclzA,@ipantv7052,3,2021-12-19T04:30:15Z
UgwrHtBbVur-Bpntt3x4AaABAg,"Maklum nek wong kota nonton gunung yo seneng banget semono Ugo, wong gunung neng kota seneng banget nonton montor.yo ora ngaku wae,,,👌👌👌👌",UCc-rMQn-2eRqqk50pMAbi2A,@rubiwiyonojapan7348,3,2020-04-19T21:30:59Z
UgzA_4voGkA2anZ6Z2d4AaABAg,Tempat wisata yg bagus....... semangat ya... 👍🙏,UCm55mfs2-lf2oe7XMKSJUmQ,@sumiwinarsih1520,3,2021-10-29T08:59:59Z
UgxcbIg6mlPV-CEk1Yd4AaABAg,Alhamdulillah udah pernah ke sana,UCNfd6U2cJRpFlpu6obdAQsA,@surur4262,3,2022-02-09T10:53:44Z
UgyWSyBZBPVyRPi7zNJ4AaABAg,WTF CHOU DEMAGE HACK PLEASE MONTOON NERF CHOU😱😱,UCfVyHmPru2VE8pFyGZwQgrg,@kelings3575,3,2021-07-17T11:19:59Z
UgxkbWdsgF_-IXBKoR94AaABAg,"Keren banget kak.
Salam dari Kefamenanu-Timor-NTT (Perbatasan Timor Leste).",UCBqFaMBCmOIgGkuVN8B1HMA,@capunkmelky,3,2021-03-10T10:52:33Z
UgzmfBnY3WOPriFi3cV4AaABAg,Bagus sih bagus sayang penghijauan nya kurang,UCeOvGAQVys9ezt407fb9r2Q,@pemdeskertosari7893,3,2022-05-12T11:23:33Z
UgzEvqDMTA5C6sS-HGl4AaABAg,WTF CHOU DAMAGE OP MOONTON PLS NER,UCcoH-h-nZE9eZlve228XpJQ,@icn4424,3,2021-07-10T18:56:15Z
Ugywv0Ly3h_Aor-fCNR4AaABAg,Jogja kota wisata penuh kenangan🙏😀,UClqeiPY4WsY_MHnCqCUffYA,@dolanndesochanel9590,3,2020-07-18T03:29:23Z
