id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
Ugy9fakqLtpeioe-N5p4AaABAg,Istimewa sekali sampe banyak yang klitih.,UCkVeNPAjbzsfXeZGrV7Y7ow,@bontotgemink7148,3,2022-06-13T07:19:25Z
Ugx86QPU89zy9L8cIZN4AaABAg,Wow bagus dan keren,UC_-i10wdxPbCJWNzEtUAQgw,@msukakuchannel,3,2023-03-19T01:20:53Z
UgwqWNQezv5xe4ls2R94AaABAg,Coba ke Jogja setengah malam 🗿,UCQ0DPCTrxTUPI9tGUq2ynUg,@andikagameplayofficial2080,3,2023-04-17T04:46:13Z
Ugw3Y1kBWvKsXv5jqd14AaABAg,Aku Juga perna ke jogja,UCVgR683GMuEvCuhoX7wERWg,@kariyantoanto5418,2,2023-05-11T06:39:02Z
UgyPoioL2KL_JDrWD8Z4AaABAg,Aku lagi di malioboro terus aku pulang di hotel pakumas jogja,UCKthRItYuO-tW3GdP04nVsw,@hadikuman,2,2023-06-26T08:33:09Z
Ugw-AJCmEK2ijZKgStN4AaABAg,"Saya pernah kesana bang. kalau gak 
Percaya ya udah",UCYh3OPjVrk5Y6je8QPkRrbQ,@agisafif3311,2,2022-03-22T00:38:45Z
UgzaHodp6pAnPEexXF94AaABAg,bang itu mas rudi ku juga disitu lho bang,UC5fqBQasyUcY9AmsYMXHFWg,@ramadhaniainun1632,2,2022-10-24T02:51:11Z
Ugw0OIunqs0m92bRrtp4AaABAg,"Aku udah pernah ke situ Lo kak
Sekarang ak di  Jogja",UCcwwvm-Nvs26G20oQySLFwg,@Laksha27-zi9il,2,2023-04-17T05:33:01Z
UgwslddUu-QMc3l6orB4AaABAg,"Saya pernah kesana bang. kalau gak 
Percaya ya udah",UCYh3OPjVrk5Y6je8QPkRrbQ,@agisafif3311,2,2022-03-22T00:38:44Z
UgxU8CaKbB6wVeCccMF4AaABAg,Teman ku  ke tugu jogja💜💜💜,UChU36pRsqGI5ycvzTre1UTg,@DainKim-wm3qn,2,2023-05-14T03:33:40Z
UgzzAnxdea68V-o3e3l4AaABAg,Jogja emang keren,UCQREYVt_UenVVnDAOQo7ZoQ,@putro8068,2,2023-06-18T07:48:54Z
9cCevCAfXBs9cJzQNkK7p5,Alhamdulillah aku orang Jogja asli aman aman aja kok kenapa harus takut. yg terpenting jangan terlalu ralut malam  klau pergi pergi,UCa1NArOg2wRoyWQl6aPrJ5g,@sopojenengku13,2,2022-06-16T03:33:15Z
UgzZdgU8enMcMlaVM9t4AaABAg,Yogyakarta Memang Oke,UCS5yUlEph1xxAJ8gEXzI4LA,@wardanidanii,2,2023-11-19T11:22:32Z
Ugw1x8XQlK60VMq1UY14AaABAg,Jossss yogyakarta terbaik,UCyrHCkCSLzs0eTKrgtkMByg,@Adiirawan13,2,2023-12-27T14:44:41Z
UgyIaqnn4k1Jl-Ff0GV4AaABAg,jogja loss,UCqUernd2Ji97-1sN23zoGfA,@chikachandrika6367,2,2024-01-16T23:39:25Z
