id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgyqX_QaikgTHmNKMTN4AaABAg,Yg kesini gegara Nadia Omara kita seserver:'D,UC2JvVGe1NsaKJbnGH7YtcBw,@user-jc2wb8gs2b,25,2020-09-22T10:23:40Z
Ugh-1VdkIf4M43gCoAEC,"Guidenya tergesa-gesa, mahal untuk museum yang koleksinya ""hanya"" beberapa lukisan, beberapa foto keluarga, beberapa batik dan beberapa patung",UCVZTvmzPWHFbQ5PhZvqLsZg,@adijayaification,5,2015-11-23T12:22:58Z
UgjNkI4HdLpPJ3gCoAEC,sejarah terlalu banyak teori????? wtf!??????!?,UC07tVv1OPg9vIDYIpNqI3Zg,@iudexe3103,4,2016-09-17T02:25:40Z
UgzfwywsvNHOkMT8OT94AaABAg,"Ktanya gaboleh difoto, ini kok boleh",UCt5uSLTubmLcX22QTTpCp-Q,@nurlitapuspitasari7522,4,2019-01-24T03:00:08Z
UgxThBlf_j6Bnt2oxvt4AaABAg,"Klo gak salah, keluarga Haryono tersebut, juga meninggalkan salah 1 warisan. Yg lokasinya diutara jogjatronik. Yang sekarang lagi ramai buat berfoto2 para wisatawan. Konon bangunannya terkesan khas eropa istana dinegeri dongeng.",UCYqhaXeu78NbqqiHR-j7ijw,@wastukusumawardhana7509,2,2019-06-10T05:46:05Z
UgytCsLndMEbWNTpML54AaABAg,Gusti Nurul menari di Belanda tahun 1937,UCFgeJU72Ic4y7ITuGutoDDQ,@hattamfm3764,2,2017-12-19T08:44:07Z
86tqbhaMH5D8sXpOrnvnx0,Iya terlalu mahal,UC3YZTp_S9uy3O4kJtENdPOg,@yuhuuuu3180,1,2019-03-16T11:28:07Z
86tqbhaMH5D91zCbWyh6Rj,Untuk domestik dewasa 40rb anak 25rb.. turis asing dewasa 100rb,UC3rS4sejzrDlvKMiFWT9Xsw,@modajelu,1,2019-12-01T01:12:22Z
Ugg8Rf3dYMj_yngCoAEC,"kalau mau kesini bawa turis dari luar negeri, dijamin guide nya ramah",UCUQ921G19xWtwhvhvECYcAg,@anggitdwil357,1,2017-07-11T05:45:54Z
UgyzTSVIWJiWpDT0mGx4AaABAg,"Bagus ini, recommended",UCXWzFrG3X2_nDPpyDU2dMDA,@kevinfj3613,1,2020-06-19T09:45:35Z
Ugw_dEHwf_c6Tz-P1fN4AaABAg,"Beauty of Yogyakarta 
I ❤️ Yogyakarta",UCUdXKyepBOr4ZiDXsABv6tQ,@hernantonugroho2386,1,2020-05-04T09:48:07Z
Ugzer6r95vRUMuXORjd4AaABAg,Museum Ullen Sentalu merupakan salah satu warisan Ilmu Budaya di Daerah Istimewa Yogyakarta.,UCtoqQSTjRwFdxIVJXrImTSA,@agnesretnolarasati1035,1,2021-01-13T03:30:09Z
8Urmwykc8vk9-Iale-macq,"Ba Sisil, ba tere, apa masih di ulensentanu dan beukenhof restoran..",UCdAxaczpuGEF8ZXXjgZ2Lbg,@m.akseljirounalpatih2144,1,2019-09-25T09:42:50Z
UgxBGTzSB3E9csAKY-F4AaABAg,kangen aku pas masa masa sd kunjungan di ullen sentalu,UCo8xsaRe_wqMnxdCl7xpmqA,@kopetsingo9419,1,2018-12-21T20:08:53Z
8qTaib4KAwZ9Byz1LmorqJ,"Betul, aku ke sini kira2 2 thn lalu juga gak boleh ambil foto dan video saat di dlm. Ini kok bisa ya. Gmn caranya",UCJTSbX4JikVah-BCyZCH7tg,@yanti_yanti8135,1,2020-08-05T12:18:54Z
86tqbhaMH5D8jpfq-uiWvB,adi jaya bayar berapa guidenya mas  ?apa jdi satu sama?,UCF2uweJI4Vt8vpAwNbnqbiQ,@ersaaviant4169,0,2018-08-12T02:27:36Z
8IufwYqtqxo9E9KqpRr7xf,"Wkwkwk.. betul""",UCRnsWP6Y9f_y2Hiln9FO_lQ,@susantojatirogo6853,0,2020-09-28T15:12:44Z
86tqbhaMH5D9A4g91-xT7z,Bagus ah,UCXWzFrG3X2_nDPpyDU2dMDA,@kevinfj3613,0,2020-06-19T09:45:49Z
86tqbhaMH5D9LOtditxxe2,Kemarin aku kesana 100 ribu per orangnya,UChq3VbvrjspQd9hur_pKpsw,@tiaraadhia3743,0,2021-03-27T15:53:54Z
UgwOcIEx2M1L8JCmLIh4AaABAg,Keren,UCncujYdG6X5RJtbO2xQ1qzQ,@user-ts9ec2iq9l,0,2024-06-18T07:13:02Z
8qTaib4KAwZ9qviNy-YrgA,Mungkin ini krn liputan TV mbak. Untuk media promosi juga kan. Jd mungkin sudah ada kerjasama dgn pengelola.,UC-NJ1OdIPw_dTU20wZSNQYg,@windamel8823,0,2023-06-14T03:54:17Z
UgwvuFtF8N48iw9MDQd4AaABAg,Mantaap salam sahabat museum 👍,UCCtb5dE5qWYT__Ok2ObO34A,@museumbentengvredeburg,0,2021-08-07T03:29:45Z
9DuN-MLGix89E0ULaQ5oE7,Sama hahahahahaha,UCWrQztslyK9FKR4_nXYNppQ,@shezaamarasyahmi473,0,2020-09-25T04:42:33Z
9DuN-MLGix89DuObJWWCrq,@@raaura3684 ada wa kak nia?,UC2JvVGe1NsaKJbnGH7YtcBw,@user-jc2wb8gs2b,0,2020-09-22T10:37:44Z
9DuN-MLGix89DuOMnKVKwv,Sama cokkk,UCXJzLVR7HxxMCw01qbIgHZg,@raaura3684,0,2020-09-22T10:35:37Z
UgxxL0lrr5RMG5ZgI694AaABAg,"Pulang pergi ke @bandarayogyakarta kini tak perlu ribet lagi.....!!! Ada kami yang siap menemani,kami siapkan unit+driver untuk antar-menjemput anda semua di bandara & diantar sampai depan gerbang rumah,kost,hotel

Ingat....!!! @poetrandeso ya.......

Reservasi & booking : 
☎️ 081355375097
📲 082327794888",UCTpn4wTBXjlHsgKU_lSHmhQ,@bayusempuk2014,0,2020-09-25T08:00:12Z
UgzkLWmZcA5BQ9t0DAp4AaABAg,Putri SOLO Ne memang cantik,UCkXFeDze2TQaqusJcBh_szw,@bintaraarjuna9394,0,2020-12-12T01:35:27Z
