id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
UgzufmFSFODSEPAKatV4AaABAg,"Jogja tetap harus jadi jogja, tidak ada yang boleh merubah nya, jangan sampai budaya asing merubah Jogja...... Salam dari warga kulonprogo",UC-HwGsa8t2inYj0PxE9_lYA,@sobatnewbi2264,50,2024-01-14T10:01:32Z
UgxI6VuZi4khdpAhk5R4AaABAg,Jogja cocok dibangun monorail/LRT dan pedestrian yang lebar untuk menunjang daya tarik wisatanya yang bagus.,UC4eaxQ8Gljk4GCOUho1adlA,@MrJoeft,13,2024-01-15T03:57:25Z
UgxvWdJgaPuqq2EHhV54AaABAg,"Ngak akan bosen bolak balik di jogja, ayo kita ke jogja lagi",UCpl1u8tWlqGC8Vf5cqX4u2A,@subrotosubroto5855,10,2024-01-24T11:25:44Z
9zYPX-g8-0y9zzf1UJZwtp,"Pemikiranmu terlalu jadul bro, justru ada seperti itu biar semakin beragam. Emang pernah ada bule dinegaranya sana melarang orang Indonesia mau mempertunjukkan budaya sendiri? Enggak kan. Saling respect aja. Jangan bego",UCSVww4QLpX-vCXz1O8w7zig,@JumanZj,8,2024-01-25T09:24:31Z
9zYPX-g8-0y9zpHjBvlOtv,​@@Yu_ni793 wkwk lebay ya kek gitu dibilang budaya asing justru kek gitu yang nambah wisata turis asing,UCcu7EkdMKBKDPiNjZWWATPA,@anjasekoprasetiyo4591,8,2024-01-21T08:39:45Z
9zYPX-g8-0yA0EnkvwoCVX,"mudah2an budaya asing merubah jogja.. budaya asing seperti tidak merokok di area publik karena mengganggu kesehatan sang perokok dan jg orang2 di sekitarnya, dan juga kesadaran membuang sampah pada tempatnya... dan jika tidak tersedia tempatnya, bisa disimpan dulu di dalam tas masing2 seperti budaya Jepang, amin, salam dari warga Malang.",UCcyjo2w51EFJGGFXuTLYg_A,@CollideWithTheSlope,7,2024-02-25T12:20:00Z
Ugz6JK_QDFL-ea_PWXZ4AaABAg,Seruuuu...para Bule Amerika ikut ngamen..semoga channel Jalan Amrita tembus ke mancanegara. Kota jogja yg unik sangat orientalis dgan suasana nyaman. Bikin kangen siapa saja yg datang ke Malioboro jogja. Sukses selalu Jalan Amrita..      Bintaro Jakarta 14-1-24,UCodk-ubVPhyFvyvUhZw2Fnw,@user-tw3qs3kz9u,6,2024-01-14T11:21:14Z
UgwWlaJvO2JyBP2urJx4AaABAg,JOKJAKARTA KOTANYA RAPIH BERSIH TERTATA DENGAN BAIK.,UC4BReB7JHT7y7qHGILZG1lQ,@jockolelo343,6,2024-02-05T14:47:16Z
Ugzwytk-Ivwz36Hpr5d4AaABAg,Hebat Jogja jadikan pusat seni dan Budaya  Dunia INTERNASIONAL hanya anak muda yang mempunyai  wawasan kebangsaan yang kuat yang  dapat menghadirkan seniman  dan nilai  seni dan budaya dunia kumpul di Jogja  🙏👍,UCFjpBFQaHQyPD0ybLU5vBFQ,@naeklinano,5,2024-01-15T04:44:06Z
UgzyecH4J7W6VXjD_MJ4AaABAg,ANEH... Sudah 20 Tahun Meninggalkan JOGJA  Selepas Wisuda' Tapi Sampai dengan Saat Ini Masih RINDU dengan Kota Ini🙏. Memang Harus Diakui Bahwa Suasana KOTA JOGJA Berbeda dengan Kota Yang Lain.,UCcfr0RMBeWQoWEqqNOR4lVg,@jhonbere7389,4,2024-01-15T10:42:29Z
