id,textOriginal,authorChannelId,authorDisplayName,likeCount,publishedAt
Ugx4A1ciR6-q1iuLeO54AaABAg,"Inilah bukti nyata sejarah leluhur hindu NUSANTARA yg sudah memiliki kecanggihan technology, konsep mendirikan tempat suci dan kondisi goegrafisnya sangat akurat, saya bersyukur masih ada yg PEDULI dengan peninggalan sejarah leluhur hindu NUSANTARA dan menjaga kelestarianya untuk anak cucu generasi hindu NUSANTARA agar tidak lupa dengan leluhur hindu NUSANTARA dan sejarah yg terkandung di dalam nya, salam dari saudara mu di Bali RAHAYU 👍.",UCqA9A_Zc_-EG3dxNkP-uVaA,@igustisuartajaya8046,52,2022-04-10T10:58:22Z
Ugwqun0bs8T0MqoLhuJ4AaABAg,"CANDI PRAMBANAN,  maha karya agung 👍, luar biasa nenek moyang kita yg pada saat itu belum ada alat modern/canggih, kembalinya KEJAYAAN NUSANTARA 🇮🇩",UCp3oe8snkBG-YSbsY_T5Rqw,@iwayansumerta253,21,2022-06-25T23:03:51Z
UgzLgKrY_V4hfe4Pmu94AaABAg,"Candi Prambanan sangat indah bagaikan Surga. Begitulah leluhur Asli Nusantara sangat Arif & bijaksana. Bangkitlah ajaran Asli Nusantara, jangan mabuk ajaran asing yg akan memperalat kita mjd bangsa tdk maju 🔥🔱🙏",UCoAeSX0av0Jh0kUFvADrLwA,@gedesaryata7186,17,2022-05-05T02:07:52Z
UgzXpEE9a0GAciJ0apd4AaABAg,Tahun 2015 bersyukur sudah pernah menginjakkan kaki di Candi Prambanan dan Borobudur sangat kagum melihat kecerdasan nenek moyang kita dulu begitu hebat membangun tanpa alat canggih dan tanpa arsitek seperti zaman sekarang,UCCfCkq9CZpqlfbVvz1qdfug,@mamakdayak925,15,2022-11-30T04:37:44Z
Ugz7Gx5UYWtrwYHvfJF4AaABAg,Saya sebagai umat Hindu sangat bangga dan sangat suka sekali sama candi prambanan candi Hindu terbesar di indonesia.🙏🌺🌼🌸🕉💪🇲🇨🏁,UCLOhSHeuWo0JH7N7QBIL5LA,@putuwiramahasandi428,15,2022-07-30T15:05:07Z
UgxhVV7JqDEEdUgVUI14AaABAg,Salut dengan bapak pemandu wisata...amazing 👍👍,UCXx2QriFT94ugnmojwM94Tw,@opgabrielsitanggang1025,15,2022-04-01T11:10:16Z
UgxcatOB_rjW2e4QopB4AaABAg,"Qta harus bangga dengan bangsa sendiri yg punya budaya sejak dulu kala, bangsa yg besar adlah bangsa yg mau menghargai budaya bangsa sendiri  ♥️ indonesia...✌️",UCGDN4aEFaud-OYlq9-HVzog,@Strongchannel123,14,2023-01-26T06:03:07Z
UgxmzZfQlPR4evqvGM94AaABAg,Inilah bukti nyata sejarah leluhur Hindu NUSANTARA yg sudah memiliki kecanggihan teknologi konsep mendirikan teknologis dan kondisi geografisnya sgt akurat sy bersyukur atas keadaan yg indah sekali,UCjmVAwOoimgkEWKn25YzsGQ,@inceroga9682,12,2022-07-20T15:30:01Z
Ugx0TUcUXUaM-bgCU0d4AaABAg,"Merupakan situs yg indah adiluhung ,sekaligus legenda yang menyentuh hati khususnya wanita ,perjuangan seorang putri Roro Jonggrang yang hebat dan semangat",UCvpxirYvoAcE9dZAqEAoNEQ,@hestukurniawati9306,11,2022-04-01T23:07:52Z
UgzcTUi04PapIIefmmR4AaABAg,"Pak sumantri sangat hebat dan cerdas dlm menjelaskan sejarah asal usul candi prambanan dan candi2 lainnya, detail sekali sehingga sy paham dan bangga sebagai anak bangsa punya warisan leluhur yg dikagumi dunia",UCXpP2KUlFZ0_D4c-EfCPaAg,@pakmargono215,11,2023-01-17T11:10:42Z
UgxdpHVteXwgbxmWh7x4AaABAg,Boleh reques om review pariwisata gunung kidul om hehehehe penasaran aku,UCRjkE-qZ8WvW7ybOt7HH_vQ,@asmoboychannel,11,2022-03-11T03:33:21Z
